Benchmark	ID	Patch A	Patch B	Patch C	Type	Message	Path	Expression	SCORE (Patch A)	SCORE (Patch B)	SCORE (Patch C)	Comment	New or changed errors patch A	New or change errors patch B	New or changed errors patch C
libgdx	181	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/85d35264c5dda661708496f6c0d4fdc7130123d0"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/6220a546868597db37cd262db86006c3cab7f3a9"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/96d6ea20d76051785e13087de1b533dcdabcda29"", ""Github"")"	ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	libgdx/gdx/src/com/badlogic/gdx/graphics/glutils/ETC1TextureData.java:107	data = null;	2	3	1	There's no reason to null out `data`, and doing so is an antipattern.			
libgdx	100	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/01b459fe4f362da39bcd5581c7f605cb7d6b8f63"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/4974c00d627a7dddfd845980967f82794b433c8a"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/17a593480cc47237f5d1edf00e3bc3a6c4cdae69"", ""Github"")"	FIELD_NO_INIT	@NonNull field indices not initialized	libgdx/gdx/src/com/badlogic/gdx/graphics/g3d/model/data/ModelMeshPart.java:22	public short[] indices;	1	3	3	This is a data record that's loaded from Json. The loaders (e.g., https://github.com/Pascal-Joos/libgdx/blob/4974c00d627a7dddfd845980967f82794b433c8a/gdx/src/com/badlogic/gdx/graphics/g3d/loader/G3dModelLoader.java) seem to be supposed to always initialize it to an empty array, even if there's nothing there. So, patch A is a perfectly reasonable defensive change (in case a loader is implemented incorrectly), but patches B and C's choices to make it nullable are incorrect.			
spring-boot	56	"=HYPERLINK(""https://github.com/Pascal-Joos/spring-boot/commit/b0cd341634eb2eff0581fa9cf608d7c0edb56446"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/spring-boot/commit/67c49e7643ccd42985187cf4e2dcc9c74aba6786"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/spring-boot/commit/56c768ba26ca52c4231891d62be5ba3076802428"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression type is @Nullable	spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/logging/logback/SpringBootJoranConfigurator.java:282	\t\t\t\treturn type.getConstructor().newInstance();	1	1	1	All three patches are identical and are superior to the existing code perf-wise, but semantically-equivalent. The only reason I'd not accept this PR is if I don't care about efficiency but do care about code size.			
libgdx	42	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/b4b158d3ae0c4c800e5e2cfdf1c88b3992608964"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/174d8beda03016600bbce6d0a6ccd21d3a1c41b7"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/a6a5b652773b3ef01a61c8555d9e2ea2cc78ef68"", ""Github"")"	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	libgdx/gdx/src/com/badlogic/gdx/graphics/g2d/ParticleEmitter.java:751	return name;	2	1	1	"The issue concerns what to do about an uninitialized ""name"" variable (a string). There is a single place where it's used, to look up the class by name. Patches A and B solve the problem by making the name the empty string when it's uninitialized, though patch A is unnecessarily verbose. Patch C solves the problem by making the getter nullable and handling it at the call site. I'm okay with both approaches, and don't have a strong preference between them."			
zuul	19	"=HYPERLINK(""https://github.com/Pascal-Joos/zuul/commit/f04d7a66fc0e89dff379d2bf6e78299f934770ce"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/zuul/commit/9b09ee09d477c7aef62e18e66cf56930733ffe74"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/zuul/commit/16e388971a4eb146409dc7a1c84cef7b9317d4e9"", ""Github"")"	UNBOX_NULLABLE	unboxing of a @Nullable value - originTimeout == null ? requestTimeout : originTimeout	zuul/zuul-core/src/main/java/com/netflix/zuul/netty/timeouts/OriginTimeoutManager.java:70	computedTimeout = originTimeout == null ? requestTimeout : originTimeout;	1	3	1	"This is definitely a false positive, since the ""both are null"" case is checked just above. Patch A solves the problem with a suppression, which is fine (the reason is obvious). Patch C splits the two cases, which is also obviously correct and is a reasonable rewrite. Patch B incorrectly tries to actually handle the null case."			
glide	36	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/9921b0ce48b795ab64491cf884726f4a3b492449"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/5978f48e072df1247f2b83c183c50ce34b02c8fb"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/86bf4f37c8db52bee4f918e14c447142ce0c6db5"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression listPool is @Nullable	glide/library/src/main/java/com/bumptech/glide/load/engine/DecodePath.java:69	List<Throwable> exceptions = Preconditions.checkNotNull(listPool.acquire());	2	3	3	The correct thing to do is to null check both listPool and listPool.acquire(). All three patches are completely wrong in at least one way, and none of them are really salvagable, although if one is it's probably patch A? Patch A does null-check both, but then ruins it by completely messing up the release semantics. Patch B shouldn't even resolve the error; I'm not sure why it does (pascal.joos@outlook.de should double-check the experimental infra). Patch C switches the null check from listPool.acquire() to listPool, which is also not right. (It's important to check that listPool.acquire() is nonnull because the pool will return null if it is empty, which I don't see why would be guaranteed here.)	0	1	1
litiengine	78	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/8e2fd0982b4b8817e2a7b01fe6be522662e2bc48"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/10b09a5a717504e8344bf8731b30d87818a5db3f"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/8ed82517f68a49a67f6ff0d30b10e115ac1a5b5e"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression bimage is @Nullable	litiengine/src/de/gurkenlabs/litiengine/graphics/OverlayPixelsImageEffect.java:27	final Graphics2D bGr = bimage.createGraphics();	1	3	1	When an image effect can't be applied to an image, it makes sense to return the original image. Patches A and C do so. Patch B incorrectly asserts that null isn't possible, but there's no guarantee that the width or height of the input image isn't zero (which is the condition that triggers a null return from Imaging.getCompatibleImage).	0	1	0
wala-util	31	"=HYPERLINK(""https://github.com/Pascal-Joos/wala-util/commit/7c1011d5a03aa8118bdd7ca65a61f456c0936bf0"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/wala-util/commit/9b487f8e457f74cd60ec62b1b685923752afb711"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/wala-util/commit/34a17f09ed3008559d945a82ab2c294fa3ff9339"", ""Github"")"	UNBOX_NULLABLE	unboxing of a @Nullable value - i2	wala-util/src/main/java/com/ibm/wala/util/heapTrace/HeapTracer.java:596	return i2 - i1;	1	1	3	compare() implementation should work  regardless of implementation details (eg relying on things being in the sizeCount map), IMO. So, the null-safe patches A and B are correct, and the warning suppression (on just i2, which is inconsistent!) in patch C is wrong.			
gson	19	"=HYPERLINK(""https://github.com/Pascal-Joos/gson/commit/8f5b1dade4e8a2d7767d43c71cfd80c95abcdd16"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/gson/commit/7dd8c2e0b52294a5b1f86d1a4c4c398c4ddd6a02"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/gson/commit/2447ef6c9a07a4207f35126dd21e88a958e75bbd"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression stackTop is @Nullable	gson/gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java:755	if (stackTop.parent != null) {	1	2	1	All three patches include the right fix, which is to check stackTop for null, too (it clearly can be - this.stack is nullable). Patch B includes a bunch of extraneous null checks in a nearby method.			
gson	7	"=HYPERLINK(""https://github.com/Pascal-Joos/gson/commit/a2f49f11a2c1891e517761aa8ade073cfe5bf77f"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/gson/commit/1271d176c21a80ed76365599b61d2867a2fcb3b1"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/gson/commit/cc10ffa33a45617fece612a4e673f90334e7d441"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression created is @Nullable	gson/gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java:103	V result = created.value;	1	3	3	This is definitely a false positive, because calling create always returns nonnull when the second argument is true. So, handling the null is wrong; suppressing like patch A does is correct. Patch A makes a similar fix in a nearby file, but it appears to have the same semantics to me so as an engineer I'd be comfortable merging them together, so I'm not penalizing patch A for that.			
litiengine	100	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/bd6814bf68ae279540f1a86abe3d2754997f5f7b"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/d92b8cf5d1c07724d698e52aa02328ed0dce963a"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/ca0d91abcef98672c95844358bb903b7259d6e5e"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression this.getListEntry(column, row) is @Nullable	litiengine/src/de/gurkenlabs/litiengine/gui/ListField.java:280	this.getListEntry(column, row)	1	2	1	There seems like there should be some kind of represenation invariant that makes the null-checking unnecessary, but the code isn't documented and is spagetti-like enough that I can't see one that's actually being enforced. All three patches try to defensively prevent the dereference in roughly the same way, but patch B makes some other unnecessary and incorrect semantic changes.			
glide	77	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/f5e7e9d900bdd8ff3ab67266156fe534f5949159"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/ade97e0d556b852193507f7bc1c3e56c371c4bd1"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/d67467cf56994f1fe94ff0293e686b643fb7278b"", ""Github"")"	UNBOX_NULLABLE	unboxing of a @Nullable value - options.get(GifOptions.DISABLE_ANIMATION)	glide/library/src/main/java/com/bumptech/glide/load/resource/gif/StreamGifDecoder.java:41	return !options.get(GifOptions.DISABLE_ANIMATION)	3	1	3	This is a false postiive, so the suppression is correct. The boolean is defaulted to false in GifOptions.			
libgdx	442	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/88ddb88f84269a15cf41b721f2ae7167569869b9"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/ff7148afd33c88f0c231d3fbaa9698de828dfc44"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/9290a1d89b20c446adeaa26e51677659f86a334a"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression _stream is @Nullable	libgdx/gdx/src/com/badlogic/gdx/utils/compression/lz/OutWindow.java:41	_stream.write(_buffer, _streamPos, size);	1	1	1	Patches are identical, and _stream is clearly nullable.			
glide	67	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/258bc2a772371fd6c5d742be9242d3226997b8ee"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/9458c99a56b10ec833c162a16c840515644201c0"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/591ca3ac235e7000df1a33fa529a55d5224dfba5"", ""Github"")"	UNBOX_NULLABLE	unboxing of a @Nullable value - options.get(COMPRESSION_QUALITY)	glide/library/src/main/java/com/bumptech/glide/load/resource/bitmap/BitmapEncoder.java:75	int quality = options.get(COMPRESSION_QUALITY);	2	3	1	This is a false positive (the option is defaulted to 90 on line 41), so Patch C's suppression is best. Patches A and B unnecessarily add null checks, but Patch A defaults to 90 while Patch B incorrectly defaults to 100. Patch A is semantically equivalent but wasteful, which is why I gave it a 2 instead of a 3; patch B is wrong.			
spring-boot	17	"=HYPERLINK(""https://github.com/Pascal-Joos/spring-boot/commit/398de640ee79389a207e0f5fd6a7021bc392cc43"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/spring-boot/commit/000051e986e57cb7cc04c0f34b0eb2f414d70266"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/spring-boot/commit/2092a7b7d5644b7f2fea6531515cb8b190a74b21"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression this.loggingSystem is @Nullable	spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/logging/LoggingApplicationListener.java:242	\t\tthis.loggingSystem.beforeInitialize();	3	2	2	The logging system shouldn't ever be null; despite the @Nullable annotation that NAA has placed on LoggingSystem.get, it actually asserts that its result is nonnull. Certainly this shouldn't be handled at a call-site, so suppressions a la patches B and C are the better option. The better fix, though, would be to make LoggingSystem.get's return type nonnull.			
libgdx	191	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/2700994e6a7109ad4f2c48e24d01da11a1ff3ea3"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/06093e69f9025b6a8333f8184e46435319ea1fa4"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/be2bce3ac9011ec02041ef98c88cde8f73b59b23"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression textureRegion is @Nullable	libgdx/gdx/src/com/badlogic/gdx/maps/tiled/BaseTmxMapLoader.java:404	"          float objectWidth = element.getFloatAttribute(""width"", textureRegion.getRegionWidth());"	3	2	3	Definitely a false positive: the texture region is set in the constructor of the relevant class: https://github.com/Pascal-Joos/libgdx/blob/5f58c8d22a5793d57c3934c4abfb56fca3dbe327/gdx/src/com/badlogic/gdx/maps/tiled/objects/TiledMapTileMapObject.java#L42. Patches A and C are therefore just wrong. Patch B is on the right track, but it should only suppress the warning in one place instead of doing it in a bunch of places.			
libgdx	113	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/20cf048d27bc006beda3898e49a1d4c5c4fd692e"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/91a13a7ce33cf662c0912cf2a1bf72766e92370b"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/c006221293f05c8c97e532c4ccb496dfe99bae50"", ""Github"")"	ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	libgdx/gdx/src/com/badlogic/gdx/graphics/g3d/particles/ResourceData.java:127	this.filename = filename;	3	3	2	Annotations should express normal behavior, and based on the way that the asset filename is decided (from the filename of an asset or else null-checked first), it's clearly intented that it should be nonnull (see e.g. https://github.com/Pascal-Joos/libgdx/blob/5f58c8d22a5793d57c3934c4abfb56fca3dbe327/gdx/src/com/badlogic/gdx/assets/AssetManager.java#L280, which is the source of the null flow). Patch C recognizes this, but gets a 2 because it triggers new errors and is therefore incomplete; patch A is worse than doing nothing; patch B tries to thread the nullability through the whole program, which seems to _work_ but clearly isn't the intended semantics.	0	2	1
litiengine	120	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/451cc4ffda2ca71beb1e3c78e536e120c741f914"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/3d4dc2df0b464a81362993716e5fc1d91129d6ee"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/bcd3fe5ed91f3ebfec98643a8ab631993a5a59f4"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression this.collisionBoxes.get(type) is @Nullable	litiengine/src/de/gurkenlabs/litiengine/physics/PhysicsEngine.java:121	this.collisionBoxes.get(type).clear();	3	3	1	The constructor of the class always add entries for each of the Collision enum values (except NONE), so looking them up will always lead to a nonnull value, since the map is never cleared.			
eureka	4	"=HYPERLINK(""https://github.com/Pascal-Joos/eureka/commit/022d7cbc208d8857214f367d47cd4de56b97aa85"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/eureka/commit/07a4d567fa5f0eed2b3c735079cc18228bda0052"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/eureka/commit/6b2cbb3a8ce323d57f301ba05186284555aa5b4a"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression resourceRecordSetWithHostedZone is @Nullable	eureka/eureka-core/src/main/java/com/netflix/eureka/aws/Route53Binder.java:276	resourceRecordSetWithHostedZone	2	2	3	hasValue can only return true if the input is nonnull (https://github.com/Pascal-Joos/eureka/blob/022d7cbc208d8857214f367d47cd4de56b97aa85/eureka-core/src/main/java/com/netflix/eureka/aws/Route53Binder.java#L326), so all three patches are wrong. Patches A and B are semantically equivalent, unlike patch C, though, so they're better.			
jadx	9	"=HYPERLINK(""https://github.com/Pascal-Joos/jadx/commit/b9ad7294b89bf02a5ce731d9d7023b454cd8d0ee"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/jadx/commit/8944e11046b673290a55b5b30acf68bd5e11e218"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/jadx/commit/67ef5155e3a5aa341c836d79d017bef57a070f1b"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression condition is @Nullable	jadx/jadx-core/src/main/java/jadx/core/codegen/ConditionGen.java:56	\t\tswitch (condition.getMode()) {	3	3	3	The design of the code makes it clear that condition is not supposed to be nullable, so the right fix is to remove that Nullable annotation on the parameter and then unwind the consequences. It seems like NAA has gotten this pretty badly wrong, and all of the models are in a position where there's not really any way to win without undoing a bunch of its work. Patches A and C are marginally better than patch B, but I wouldn't consider any of them if I were a dev - I'd insist on getting rid of the unnessary nullability.			
libgdx	437	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/f329d12aa4ca415376e9eacd6083969c82b593d6"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/9cad0137920c9d0dfcf74e62b6ce1a7b2eeb4efe"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/cc485340cb7e66fc50fdfc7c86cd5eb6971eba3a"", ""Github"")"	FIELD_NO_INIT	@NonNull field _hash not initialized	libgdx/gdx/src/com/badlogic/gdx/utils/compression/lz/BinTree.java:12	int[] _hash;	3	2	2	This code doesn't look like it's really intended to be Java; the structure looks like a translated C program. I would not run the checker on the whole file for that reason, so my preferred patch is a warning suppression on the whole file. Patch A is very wrong: it changes semantics in a few places, and is otherwise too intrusive. Patches B and C are effectively warning suppressions, but I'd hesitate to accept them as a dev because as a dev I wouldn't touch this code with a ten foot pole.			
