Benchmark	ID	Patch A	Patch B	Patch C	Type	Message	Path	Expression	SCORE (Patch A)	SCORE (Patch B)	SCORE (Patch C)	Comment	New or changed errors patch A	New or change errors patch B	New or changed errors patch C
glide	16	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/369468384a89d28757738ee7adef1739a67be79e"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/6bce4790eac624f99853c52c2b459aa549403adf"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/4aa8f484f940c5d15f1bee1bad3cadcdd56beee9"", ""Github"")"	ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	glide/library/src/main/java/com/bumptech/glide/load/engine/DecodeHelper.java:84	resourceClass = null;	1	3	3	`clear` is clearly intended to null out everything, so changing that behavior (B and C) seems wrong.  Patch A seems reasonable; make the field `@Nullable` to allow the assignment, but cast elsewhere under the assumption that the lifecycle means those methods shouldn't be called if the class is not initialized.			
libgdx	41	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/7a4848e583469b5863992f0654e74eba9d250795"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/4f98d384b115305449e5d286876507c6f73f9f28"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/833f496177ac68858a399d6e2a2ebd64e12c7f75"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression sprite is @Nullable	libgdx/gdx/src/com/badlogic/gdx/graphics/g2d/ParticleEmitter.java:441	float spriteWidth = sprite.getWidth();	1	3	3	`sprite` cannot be null here; NullAway only warns since it cannot prove the switch is exhaustive, but it is.  So casting is good, and fixes that imply `sprite` might be null are bad.			
litiengine	110	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/fc65c327feed9fc54830c93ff0e8c54f40303ff2"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/74629d4d6a948ec4c4a48ad21324023e1fc97f9c"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/464a242ea4eba84a18a76232f441e69a4a64cc2a"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression this.currentText is @Nullable	litiengine/src/de/gurkenlabs/litiengine/gui/SpeechBubble.java:271	while (measurer.getPosition() < this.currentText.length()) {	3	3	1	`this.currentText` cannot be null; we're in a private method called from one place where `this.currentText` is guaranteed to be non-null.  (`@RequiresNonNull` could have been helpful here.)  casts are fine, though I would have preferred casting once and assigning to a local.  Patches A and B, which imply the field might be null, are bad.	0	1	0
libgdx	331	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/0b226f2ccfee6a4a28ec85f5bc6f80482aa921ae"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/84e45df3407975fe525d874451d24717395e075f"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/e91c9646b2ffeb413f2fba21dc41a50fb856de5d"", ""Github"")"	PASS_NULLABLE	passing @Nullable parameter 'c.actor' where @NonNull is required	libgdx/gdx/src/com/badlogic/gdx/scenes/scene2d/ui/Table.java:1205	float maxHeight = c.maxHeight.get(c.actor);	3	3	3	I think the `get` method can in fact accept null as an argument, so all these patches are kind of off.  See here: https://github.com/Pascal-Joos/libgdx/blob/0b226f2ccfee6a4a28ec85f5bc6f80482aa921ae/gdx/src/com/badlogic/gdx/scenes/scene2d/ui/Value.java#L36-L39			
libgdx	128	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/2666f98d3a9919254d62642f1896630cc2a516f3"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/a7b6429634e05b1aef82b60cd1f6e02f00eb9267"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/bfce57ab7b2905cf44cbc1fc1fcbd717f14fb381"", ""Github"")"	METHOD_NO_INIT	initializer method does not guarantee @NonNull fields positionChannel (line 36), previousPositionChannel (line 36), rotationChannel (line 36) are initialized along all control-flow paths (remember to check for exceptions or early returns).	libgdx/gdx/src/com/badlogic/gdx/graphics/g3d/particles/influencers/DynamicsInfluencer.java:57	@Initializer	2	3	3	The fields are conditionally null depending on the value in boolean fields.  Patch B just breaks this property, and Patch C will still leave a lot of warnings.  Patch A I think fixes the warnings, but it also adds both redundant null checks and casts; just the casts would be better.	0	0	9
glide	17	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/6b48a41b87283033f21a0a473e10d4ef034460e9"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/237837945abd68b8c2dc5a12dbc288ac8c823733"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/c4135e7ba30d92f28be15991cb6e0206311a3687"", ""Github"")"	ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	glide/library/src/main/java/com/bumptech/glide/load/engine/DecodeHelper.java:85	transcodeClass = null;	3	3	1	Field should be `@Nullable` and casts are probably need in light of the lifecycle.  Only Patch C gets it right.	3	0	0
libgdx	196	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/a51fb301af5bfc47be3aaea0d901c526db524364"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/6a25e8fbe261701233c1c180a3f78677e46af465"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/a35d007be7c23837ba087b32937d1a2e10f37a81"", ""Github"")"	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	libgdx/gdx/src/com/badlogic/gdx/maps/tiled/TiledMapTileSets.java:52	return null;	2	3	3	Makes sense to make the function return `@Nullable`.  At the new warnings at call sites, hard to tell but I think probably invariants will ensure the calls don't return null.  So probably casts are best.  Patch C clearly wrong, Patch B misleading with the null checks.  Patch A ok but adds redundant null checks.			
libgdx	415	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/efbf8d6deb4133b7360769bc485d8f32b713114c"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/9abd99848f7df89064a2766990fc0149d71c30a2"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/6927250e2534744b68eeffc99376bdd55ef4facc"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression p is @Nullable	libgdx/gdx/src/com/badlogic/gdx/utils/PooledLinkedList.java:160	p.next = null;	1	3	3	cast is the right move here; p can't be null (for subtle reasons, we know curr is not the head and curr is the tail, so tail must have a prev).  adding null checks is misleading.			
spring-boot	32	"=HYPERLINK(""https://github.com/Pascal-Joos/spring-boot/commit/906183d38ce5fe72d5a1df4c72ff4d75b192c059"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/spring-boot/commit/48bde752a3be925485e367319ec8d513ee080e73"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/spring-boot/commit/079c94dfa094a530856ad5dfd55286cc1ba2db0e"", ""Github"")"	PASS_NULLABLE	passing @Nullable parameter 'annotations' where @NonNull is required	spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/properties/bind/JavaBeanBinder.java:98	\t\t\t\tBindable.of(type).withSuppliedValue(value).withAnnotations(annotations));	1	3	1	A weird one.  Must be a limitation of the NullAway version we are using, because the function can actually accept a null array!  But, given the warning, it's better to pass an empty array.  castToNonNull is wrong since from what I see the array could in fact be null.			
zuul	10	"=HYPERLINK(""https://github.com/Pascal-Joos/zuul/commit/b226fbe4ee6ede6aeff81d078d9539c8fb5edf3e"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/zuul/commit/24fc0b05a06d02593620c8dfb9660681a78288c6"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/zuul/commit/e9b6b7236c1e7d3fab3dede8fb0901182c61d4a4"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression zuulFilters is @Nullable	zuul/zuul-core/src/main/java/com/netflix/zuul/netty/server/BaseZuulChannelInitializer.java:374	final ZuulFilter<T, T>[] filters = new ZuulFilter[zuulFilters.size() + 2];	2	1	1	Looks like null checks are in fact needed here.  Patch B and C add the null checks.  Patch A I say is slightly worse since it allocates a mostly-unused TreeSet.			
wala-util	17	"=HYPERLINK(""https://github.com/Pascal-Joos/wala-util/commit/2f146e67994fccf02955f63ce5d98f7258b5ad59"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/wala-util/commit/20786a41814a7b72db0378a4f7ac29885606a756"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/wala-util/commit/479a4b7cb161317cda48b78897b4bf5f1c5e6fa4"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression succs.get(N) is @Nullable	wala-util/src/main/java/com/ibm/wala/util/graph/GraphSlicer.java:290	return succs.get(N).iterator();	2	1	2	It can't be null, cast is a better solution than doing a null check (though for this case the latter doesn't break semantics or anything)			
libgdx	309	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/9822d1adafa57cdeab6f9cfb0798965fb2f3640b"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/b13a7b4ef30815a20f157913b32a1e40afe0befd"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/ba654d2e9c3f40a10bc8badf8498071913a90ea3"", ""Github"")"	PASS_NULLABLE	passing @Nullable parameter 'a' where @NonNull is required	libgdx/gdx/src/com/badlogic/gdx/scenes/scene2d/ui/Table.java:901	c.computedPadRight = c.padRight.get(a) + ((column + colspan) == columns ? 0 : spaceRight);	2	3	3	My guess is some invariant means `a` can't be null.  casts are a good solution, but Patch A would be better if it stored the casted value in a local.  Patches B and C are less good since they will hide an unexpected null value.			
gson	2	"=HYPERLINK(""https://github.com/Pascal-Joos/gson/commit/6ab8f5ceeec572e434c71717887b50b440b0871a"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/gson/commit/bcd611b99641ffe341c228a879bb12ec360a0128"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/gson/commit/20532a6c8c82f93f1435307475e47c89c39057b3"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression longAdapter.read(in) is @Nullable	gson/gson/src/main/java/com/google/gson/Gson.java:455	long value = longAdapter.read(in).longValue();	2	2	2	Because of the nullSafe wrapper no null check is needed here.  A cast or local suppression would be best.  Patch B is weird; it doesn't actually change anything other than adding a local.	0	1	0
libgdx	322	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/03f35e4f6bfe68d330fba7b965ca244c75031457"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/55a7077a5363fad3c0cd623b4a619dcef8d9ec37"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/64a23e73143780a7a799d87eba6ab1074d2d75b3"", ""Github"")"	PASS_NULLABLE	passing @Nullable parameter 'a' where @NonNull is required	libgdx/gdx/src/com/badlogic/gdx/scenes/scene2d/ui/Table.java:1091	float prefWidth = c.prefWidth.get(a), prefHeight = c.prefHeight.get(a);	2	3	3	Similar to row 23.			
libgdx	355	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/90bee9d53ae5ed744ac177ec0f0c135ad7e560b3"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/b8bf7f3342730d943755ecc7ff1467ea070545f8"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/b9273f00e2c59d70d612426918c3a119bda45427"", ""Github"")"	METHOD_NO_INIT	initializer method does not guarantee @NonNull field columnSizes (line 47) is initialized along all control-flow paths (remember to check for exceptions or early returns).	libgdx/gdx/src/com/badlogic/gdx/scenes/scene2d/ui/VerticalGroup.java:52	public VerticalGroup() {	3	3	2	clearly should be initialized lazily, and the code does so.  we need casts.  and getColumns does look risky in the case where the lazy init hasn't happened yet.  Patch C looks good, except that it does an unnecessary null check?	0	0	1
libgdx	191	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/2700994e6a7109ad4f2c48e24d01da11a1ff3ea3"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/06093e69f9025b6a8333f8184e46435319ea1fa4"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/be2bce3ac9011ec02041ef98c88cde8f73b59b23"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression textureRegion is @Nullable	libgdx/gdx/src/com/badlogic/gdx/maps/tiled/BaseTmxMapLoader.java:404	"          float objectWidth = element.getFloatAttribute(""width"", textureRegion.getRegionWidth());"	3	1	3	It actually can't be null; will always be set.  cast is best.			
libgdx	113	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/20cf048d27bc006beda3898e49a1d4c5c4fd692e"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/91a13a7ce33cf662c0912cf2a1bf72766e92370b"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/c006221293f05c8c97e532c4ccb496dfe99bae50"", ""Github"")"	ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	libgdx/gdx/src/com/badlogic/gdx/graphics/g3d/particles/ResourceData.java:127	this.filename = filename;	2	3	3	I feel like Annotator probably propagated `@Nullable` annotations too eagerly; doesn't seem like this parameter should ever be null.  Patch A does a defensive check which is fine, but ideally one would try to get rid of the `@Nullable` annotation the right way.  Patches B and C don't do the job.  (C gets rid of the annotation but doesn't reckon with the new warnings that will cause.)	0	2	1
litiengine	120	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/451cc4ffda2ca71beb1e3c78e536e120c741f914"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/3d4dc2df0b464a81362993716e5fc1d91129d6ee"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/bcd3fe5ed91f3ebfec98643a8ab631993a5a59f4"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression this.collisionBoxes.get(type) is @Nullable	litiengine/src/de/gurkenlabs/litiengine/physics/PhysicsEngine.java:121	this.collisionBoxes.get(type).clear();	2	2	1	can't be null but nullaway can't prove, cast is best			
eureka	4	"=HYPERLINK(""https://github.com/Pascal-Joos/eureka/commit/022d7cbc208d8857214f367d47cd4de56b97aa85"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/eureka/commit/07a4d567fa5f0eed2b3c735079cc18228bda0052"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/eureka/commit/6b2cbb3a8ce323d57f301ba05186284555aa5b4a"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression resourceRecordSetWithHostedZone is @Nullable	eureka/eureka-core/src/main/java/com/netflix/eureka/aws/Route53Binder.java:276	resourceRecordSetWithHostedZone	2	2	2	hasValue returning true ensures non-null.  Null check is not ideal but safe.			
jadx	9	"=HYPERLINK(""https://github.com/Pascal-Joos/jadx/commit/b9ad7294b89bf02a5ce731d9d7023b454cd8d0ee"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/jadx/commit/8944e11046b673290a55b5b30acf68bd5e11e218"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/jadx/commit/67ef5155e3a5aa341c836d79d017bef57a070f1b"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression condition is @Nullable	jadx/jadx-core/src/main/java/jadx/core/codegen/ConditionGen.java:56	\t\tswitch (condition.getMode()) {	2	3	2	I doubt this can actually be null; maybe annotator pushing `@Nullable` far from root cause.  I think a null check is better than casts, but still not ideal.			
libgdx	437	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/f329d12aa4ca415376e9eacd6083969c82b593d6"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/9cad0137920c9d0dfcf74e62b6ce1a7b2eeb4efe"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/cc485340cb7e66fc50fdfc7c86cd5eb6971eba3a"", ""Github"")"	FIELD_NO_INIT	@NonNull field _hash not initialized	libgdx/gdx/src/com/badlogic/gdx/utils/compression/lz/BinTree.java:12	int[] _hash;	3	3	3	I _think_ this is actually always initialized via some complex initialization protocol.  Might be best to just suppress the initialization warning.  None of the patches make a good change, the size of this array needs to be consistent with _hashSizeSum I think.			
libgdx	63	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/ffe74908da67a4aebbc66b083ae1af457c77e184"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/7eed90be3f64fd373341b99ade04cab26d6d4dfe"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/5cd96064208fb6e722d4cf20e557da55398b61bc"", ""Github"")"	FIELD_NO_INIT	@NonNull field TextureAtlas$TextureAtlasData$Region.values not initialized	libgdx/gdx/src/com/badlogic/gdx/graphics/g2d/TextureAtlas.java:587	public @Null int[][] values;	3	2	3	needs to be initialized consistently with the names array, and i think it is.  Patch B is closest but adds unnecessary null check on values.  Patches A and C seem wrong, don't keep consistency.	0	0	1
libgdx	83	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/95449f86a9c3bba12ac87f2f445717f04420f481"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/aeee6a9a71acaae1bcb69edf954ecd1e3a5ba706"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/5476d2c29697a9c5b601ff03efb2c55244916088"", ""Github"")"	PASS_NULLABLE	passing @Nullable parameter 'bindPose.keys[j].id' where @NonNull is required	libgdx/gdx/src/com/badlogic/gdx/graphics/g3d/ModelInstance.java:359	bindPose.keys[j] = getNode(bindPose.keys[j].id);	1	2	2	hard to tell but my best guess is that this can't actually be null.  cast is best, but null checks are a reasonable second best i think (though would they mask an error?)	0	1	0
