Benchmark	ID	Patch A	Patch B	Patch C	Type	Message	Path	Expression	SCORE (Patch A)	SCORE (Patch B)	SCORE (Patch C)	Comment	New or changed errors patch A	New or change errors patch B	New or changed errors patch C
libgdx	181	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/85d35264c5dda661708496f6c0d4fdc7130123d0"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/6220a546868597db37cd262db86006c3cab7f3a9"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/96d6ea20d76051785e13087de1b533dcdabcda29"", ""Github"")"	ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	libgdx/gdx/src/com/badlogic/gdx/graphics/glutils/ETC1TextureData.java:107	data = null;	3	1	3	A and C simply remove the assignment, which is likely unintended. The 'data'  field should be annoated as nullable (as there's a null check at line 64). B adds this annotation and then tries to handle its effects.			
libgdx	100	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/01b459fe4f362da39bcd5581c7f605cb7d6b8f63"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/4974c00d627a7dddfd845980967f82794b433c8a"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/17a593480cc47237f5d1edf00e3bc3a6c4cdae69"", ""Github"")"	FIELD_NO_INIT	@NonNull field indices not initialized	libgdx/gdx/src/com/badlogic/gdx/graphics/g3d/model/data/ModelMeshPart.java:22	public short[] indices;	3	1	2	A initialized the field with a placeholder value, which seems wrong. B could be correct, but I'm not 100% sure whether all references of the field are handled (correctly). C appears to be missing some references of the field.			
spring-boot	56	"=HYPERLINK(""https://github.com/Pascal-Joos/spring-boot/commit/b0cd341634eb2eff0581fa9cf608d7c0edb56446"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/spring-boot/commit/67c49e7643ccd42985187cf4e2dcc9c74aba6786"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/spring-boot/commit/56c768ba26ca52c4231891d62be5ba3076802428"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression type is @Nullable	spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/logging/logback/SpringBootJoranConfigurator.java:282	\t\t\t\treturn type.getConstructor().newInstance();	1	1	1	Apart from formatting, all three do the same, which looks correct.			
libgdx	42	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/b4b158d3ae0c4c800e5e2cfdf1c88b3992608964"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/174d8beda03016600bbce6d0a6ccd21d3a1c41b7"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/a6a5b652773b3ef01a61c8555d9e2ea2cc78ef68"", ""Github"")"	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	libgdx/gdx/src/com/badlogic/gdx/graphics/g2d/ParticleEmitter.java:751	return name;	2	1	3	Using a default, empty name seems reasonable. A and B do this; B does it more elegantly.			
zuul	19	"=HYPERLINK(""https://github.com/Pascal-Joos/zuul/commit/f04d7a66fc0e89dff379d2bf6e78299f934770ce"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/zuul/commit/9b09ee09d477c7aef62e18e66cf56930733ffe74"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/zuul/commit/16e388971a4eb146409dc7a1c84cef7b9317d4e9"", ""Github"")"	UNBOX_NULLABLE	unboxing of a @Nullable value - originTimeout == null ? requestTimeout : originTimeout	zuul/zuul-core/src/main/java/com/netflix/zuul/netty/timeouts/OriginTimeoutManager.java:70	computedTimeout = originTimeout == null ? requestTimeout : originTimeout;	1	3	2	It's safe to cast to non-null because of the two if checks, which is what A does. B just invents some value. C is equivalent to A, but a bit lengthy.			
glide	36	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/9921b0ce48b795ab64491cf884726f4a3b492449"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/5978f48e072df1247f2b83c183c50ce34b02c8fb"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/86bf4f37c8db52bee4f918e14c447142ce0c6db5"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression listPool is @Nullable	glide/library/src/main/java/com/bumptech/glide/load/engine/DecodePath.java:69	List<Throwable> exceptions = Preconditions.checkNotNull(listPool.acquire());	3	3	2	B doesn't remove the warning. C might be what the developers had in mind, but the warning remains as NullAway doesn't understand the null check. A ensures safety, but removes the functionality implemented with Preconditions	0	1	1
litiengine	78	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/8e2fd0982b4b8817e2a7b01fe6be522662e2bc48"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/10b09a5a717504e8344bf8731b30d87818a5db3f"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/8ed82517f68a49a67f6ff0d30b10e115ac1a5b5e"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression bimage is @Nullable	litiengine/src/de/gurkenlabs/litiengine/graphics/OverlayPixelsImageEffect.java:27	final Graphics2D bGr = bimage.createGraphics();	1	3	1	getCompatibleImage() may return null when height or width is zero, i.e., casting to non-null (as done by B) is unsafe. The fall-back in A and C seems reasonable, as there's nothing to do for zero-height or zero-width images.	0	1	0
wala-util	31	"=HYPERLINK(""https://github.com/Pascal-Joos/wala-util/commit/7c1011d5a03aa8118bdd7ca65a61f456c0936bf0"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/wala-util/commit/9b487f8e457f74cd60ec62b1b685923752afb711"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/wala-util/commit/34a17f09ed3008559d945a82ab2c294fa3ff9339"", ""Github"")"	UNBOX_NULLABLE	unboxing of a @Nullable value - i2	wala-util/src/main/java/com/ibm/wala/util/heapTrace/HeapTracer.java:596	return i2 - i1;	2	2	1	Cast, as done by C, seems safe, assuming that registerObject() is called before calling compare(), which I understand to be the usage protocol. A and B will also give correct runtime behavior, but handle a case that should never occur.			
gson	19	"=HYPERLINK(""https://github.com/Pascal-Joos/gson/commit/8f5b1dade4e8a2d7767d43c71cfd80c95abcdd16"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/gson/commit/7dd8c2e0b52294a5b1f86d1a4c4c398c4ddd6a02"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/gson/commit/2447ef6c9a07a4207f35126dd21e88a958e75bbd"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression stackTop is @Nullable	gson/gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java:755	if (stackTop.parent != null) {	1	3	1	A and C are equivalent and look fine. B clutters the code with lots of (unnecessary, it seems) checks.			
gson	7	"=HYPERLINK(""https://github.com/Pascal-Joos/gson/commit/a2f49f11a2c1891e517761aa8ade073cfe5bf77f"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/gson/commit/1271d176c21a80ed76365599b61d2867a2fcb3b1"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/gson/commit/cc10ffa33a45617fece612a4e673f90334e7d441"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression created is @Nullable	gson/gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java:103	V result = created.value;	2	2	2	The true passed to find() ensures that created exists, i.e., safe to cast to non-null. All three patches give the right behavior, but A introduced another, unrelated change, while B and C handle a case that never occurs.			
litiengine	100	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/bd6814bf68ae279540f1a86abe3d2754997f5f7b"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/d92b8cf5d1c07724d698e52aa02328ed0dce963a"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/ca0d91abcef98672c95844358bb903b7259d6e5e"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression this.getListEntry(column, row) is @Nullable	litiengine/src/de/gurkenlabs/litiengine/gui/ListField.java:280	this.getListEntry(column, row)	2	3	1	B goes beyond the specific error. A is correct, but adds unnecessary code. C looks best.			
glide	77	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/f5e7e9d900bdd8ff3ab67266156fe534f5949159"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/ade97e0d556b852193507f7bc1c3e56c371c4bd1"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/d67467cf56994f1fe94ff0293e686b643fb7278b"", ""Github"")"	UNBOX_NULLABLE	unboxing of a @Nullable value - options.get(GifOptions.DISABLE_ANIMATION)	glide/library/src/main/java/com/bumptech/glide/load/resource/gif/StreamGifDecoder.java:41	return !options.get(GifOptions.DISABLE_ANIMATION)	2	1	2	Can probably be casted, as done by B. A and C are likely also correct, but adds several code lines just to handle a case that won't occur.			
libgdx	442	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/88ddb88f84269a15cf41b721f2ae7167569869b9"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/ff7148afd33c88f0c231d3fbaa9698de828dfc44"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/9290a1d89b20c446adeaa26e51677659f86a334a"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression _stream is @Nullable	libgdx/gdx/src/com/badlogic/gdx/utils/compression/lz/OutWindow.java:41	_stream.write(_buffer, _streamPos, size);	1	1	1	All three the same and correct.			
glide	67	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/258bc2a772371fd6c5d742be9242d3226997b8ee"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/9458c99a56b10ec833c162a16c840515644201c0"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/591ca3ac235e7000df1a33fa529a55d5224dfba5"", ""Github"")"	UNBOX_NULLABLE	unboxing of a @Nullable value - options.get(COMPRESSION_QUALITY)	glide/library/src/main/java/com/bumptech/glide/load/resource/bitmap/BitmapEncoder.java:75	int quality = options.get(COMPRESSION_QUALITY);	2	2	1	Similar to glide-77.			
spring-boot	17	"=HYPERLINK(""https://github.com/Pascal-Joos/spring-boot/commit/398de640ee79389a207e0f5fd6a7021bc392cc43"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/spring-boot/commit/000051e986e57cb7cc04c0f34b0eb2f414d70266"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/spring-boot/commit/2092a7b7d5644b7f2fea6531515cb8b190a74b21"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression this.loggingSystem is @Nullable	spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/logging/LoggingApplicationListener.java:242	\t\tthis.loggingSystem.beforeInitialize();	2	1	2	Naming suggest that casting to non-null is okay, as done by B. A and C are also correct, but less concise.			
eureka	1	"=HYPERLINK(""https://github.com/Pascal-Joos/eureka/commit/577b3622e25ccdbf3ee05cdbc003697d1b280831"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/eureka/commit/f2091409da37d949b050f416dcfe8c989ac753b1"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/eureka/commit/5721aa083059c276e2f2db141e6ff5cbe9413759"", ""Github"")"	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	eureka/eureka-core/src/main/java/com/netflix/eureka/EurekaServerContextHolder.java:44	return holder;	1	3	1	Should be called when holder got initialized, as enforced by A and C. B makes too many changes for enforcing an obvious usage protocol.	0	8	0
libgdx	360	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/9e65381c908498ddff16cda75dff5cbbacb4673e"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/800663930aa514919cdd5e55ef7a1b34c61ecbc1"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/e19fa2a52f3f8d5a6db44feac3617fe602a2ba55"", ""Github"")"	METHOD_NO_INIT	initializer method does not guarantee @NonNull field titleFont (line 390) is initialized along all control-flow paths (remember to check for exceptions or early returns).	libgdx/gdx/src/com/badlogic/gdx/scenes/scene2d/ui/Window.java:393	public WindowStyle() {}	3	2	1	Setting a default font, as done by B and C seems reasonable. B should use an import. A is too complex.	1	0	0
jadx	89	"=HYPERLINK(""https://github.com/Pascal-Joos/jadx/commit/7c84d3924eb8feefcd904710ac4cc23a059a6db8"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/jadx/commit/2d8656690b06fe8aa58663bdc40a58d5018207eb"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/jadx/commit/c572cb4608cdcc82d21ddcaed44f6cc5efa576cf"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression assignInsn is @Nullable	jadx/jadx-core/src/main/java/jadx/core/dex/visitors/regions/LoopRegionVisitor.java:266	\t\tInsnArg iterableArg = assignInsn.getArg(0);	3	1	1	B and C looks like the intended behavior. A may cause runtime error.			
libgdx	214	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/465c89894cfa0f95ce648e9a463ce88a1cadb8a0"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/41b775a520a40266d609500b1ba48f9859e503b4"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/ce32ee051b72f1c0db919a806ce575fc8c72514f"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression action is @Nullable	libgdx/gdx/src/com/badlogic/gdx/scenes/scene2d/Actor.java:306	action.setActor(this);	1	3	1	Cast in B contradicts annotation. A and C look fine, but this behavior should probably be documented.			
jadx	84	"=HYPERLINK(""https://github.com/Pascal-Joos/jadx/commit/30861c4de848c48fdcda3cc38b361596dd6c9791"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/jadx/commit/f6496090589e7e4b5788d4002668fac05d429746"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/jadx/commit/3f525ecf7945693e43e1d2671c2515f1e18c3b67"", ""Github"")"	PASS_NULLABLE	passing @Nullable parameter 'startBlock' where @NonNull is required	jadx/jadx-core/src/main/java/jadx/core/dex/visitors/finaly/MarkFinallyVisitor.java:340	\t\tInsnsSlice dupSlice = searchFromFirstBlock(checkBlock, startBlock, extractInfo);	2	2	1	Should never be null, I think, so casting, as done by C is best. A and B are also correct, but handle a never ocurring case.			
libgdx	67	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/64837f3bcc12d600f0418797b847f22039028dd0"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/bda6aef932747ec3241263833840f01a4de12d44"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/cda3771ad7dba8cf493d2318316cf2e46623ece6"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression region is @Nullable	libgdx/gdx/src/com/badlogic/gdx/graphics/g2d/TextureRegion.java:126	texture = region.texture;	3	1	1	Cast in A contracts the annotation. Assuming the annotation is correct, then defaulting to do nothing (i.e., patch B and C) seems okay.	1	0	0
litiengine	22	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/80bc5958f68905f749f891a60fe3e3286168d1de"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/19e39be380d5654747a25efa18a385ed0747ce4c"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/425a61b3d361ab90f4f9f99d31b1cb2713f05f63"", ""Github"")"	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	litiengine/src/de/gurkenlabs/litiengine/environment/EntitySpawner.java:104	return this.spawnpoints;	1	1	3	C is too complex. A and B seem reasonable and are practically equivalent	0	0	1
litiengine	56	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/0a9c3399ce7a83d630ab3424f16c2e6d6d8bc374"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/5b1ae672df6a2d80e8e119670b13aa508c524491"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/3b7a707cbb5200ab842b8ff6a71101fed5bd2e1a"", ""Github"")"	UNBOX_NULLABLE	unboxing of a @Nullable value - this.y	litiengine/src/de/gurkenlabs/litiengine/environment/tilemap/xml/MapObject.java:338	return this.y - map.getChunkOffsetY() * map.getTileHeight();	2	1	2	From setX and setY, it seems that isInfiniteMap implies a non-null value, i.e., okay to cast, as done by B. A and C are also correct, but introduce unnecessary checks.			
litiengine	76	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/f658c9023ffc1bea19a1e41555ea610a75ad42f3"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/92fb5108ddf0bf0a1a2f4971264c7ced4882eba7"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/d8f6ff9a8050d5b0f0ffa13c9e13cb4ee60da277"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression buffer is @Nullable	litiengine/src/de/gurkenlabs/litiengine/graphics/CreatureShadowImageEffect.java:70	final Graphics2D graphics = buffer.createGraphics();	3	3	1	Similar to litiengine-78. B makes too many not-asked-for changes.	1	0	0
libgdx	363	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/130f3aa9ba0732909a12d4a4a394f3794a0ba97e"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/df5e460cb9f7449804c250ff8e3daa65160bccbd"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/89f0868cb2ca8577eb7da6e77735f3d136f29149"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression target is @Nullable	libgdx/gdx/src/com/badlogic/gdx/scenes/scene2d/utils/DragAndDrop.java:170	target.actor.stageToLocalCoordinates(tmpVector.set(stageX, stageY));	3	1	2	Check done by B is similar to what's done a few lines above. A is similar, but also edits another, not-asked-for location. C checks more than necessary to fix the warning, but otherwise okay.			
glide	16	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/369468384a89d28757738ee7adef1739a67be79e"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/6bce4790eac624f99853c52c2b459aa549403adf"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/4aa8f484f940c5d15f1bee1bad3cadcdd56beee9"", ""Github"")"	ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	glide/library/src/main/java/com/bumptech/glide/load/engine/DecodeHelper.java:84	resourceClass = null;	1	3	3	B and C are clearly stupid. A looks good, as it acknowledges that resourceClass may be null and then adds checks/casts.			
libgdx	41	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/7a4848e583469b5863992f0654e74eba9d250795"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/4f98d384b115305449e5d286876507c6f73f9f28"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/833f496177ac68858a399d6e2a2ebd64e12c7f75"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression sprite is @Nullable	libgdx/gdx/src/com/badlogic/gdx/graphics/g2d/ParticleEmitter.java:441	float spriteWidth = sprite.getWidth();	1	3	2	sprite seems to be non-null, so casting is fine. B skips behavior. C is okay, but not very elegant.			
