Benchmark	ID	Tool A	Tool B	Tool C	Patch A	Patch B	Patch C	Type	Message	Path	Expression	SCORE(Patch A)	SCORE(Patch B)	SCORE(Patch C)	Comment
libgdx	181	hash_basic	hash_advanced	hash_agent_baseline	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/85d35264c5dda661708496f6c0d4fdc7130123d0"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/6220a546868597db37cd262db86006c3cab7f3a9"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/96d6ea20d76051785e13087de1b533dcdabcda29"", ""Github"")"	ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	libgdx/gdx/src/com/badlogic/gdx/graphics/glutils/ETC1TextureData.java:107	    data = null;				
libgdx	100	hash_basic	hash_advanced	hash_agent_baseline	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/01b459fe4f362da39bcd5581c7f605cb7d6b8f63"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/4974c00d627a7dddfd845980967f82794b433c8a"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/17a593480cc47237f5d1edf00e3bc3a6c4cdae69"", ""Github"")"	FIELD_NO_INIT	@NonNull field indices not initialized	libgdx/gdx/src/com/badlogic/gdx/graphics/g3d/model/data/ModelMeshPart.java:22	  public short[] indices;				
spring-boot	56	hash_advanced	hash_basic	hash_agent_baseline	"=HYPERLINK(""https://github.com/Pascal-Joos/spring-boot/commit/b0cd341634eb2eff0581fa9cf608d7c0edb56446"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/spring-boot/commit/67c49e7643ccd42985187cf4e2dcc9c74aba6786"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/spring-boot/commit/56c768ba26ca52c4231891d62be5ba3076802428"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression type is @Nullable	spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/logging/logback/SpringBootJoranConfigurator.java:282	\t\t\t\treturn type.getConstructor().newInstance();				
libgdx	42	hash_basic	hash_agent_baseline	hash_advanced	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/b4b158d3ae0c4c800e5e2cfdf1c88b3992608964"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/174d8beda03016600bbce6d0a6ccd21d3a1c41b7"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/a6a5b652773b3ef01a61c8555d9e2ea2cc78ef68"", ""Github"")"	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	libgdx/gdx/src/com/badlogic/gdx/graphics/g2d/ParticleEmitter.java:751	    return name;				
zuul	19	hash_advanced	hash_basic	hash_agent_baseline	"=HYPERLINK(""https://github.com/Pascal-Joos/zuul/commit/f04d7a66fc0e89dff379d2bf6e78299f934770ce"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/zuul/commit/9b09ee09d477c7aef62e18e66cf56930733ffe74"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/zuul/commit/16e388971a4eb146409dc7a1c84cef7b9317d4e9"", ""Github"")"	UNBOX_NULLABLE	unboxing of a @Nullable value - originTimeout == null ? requestTimeout : originTimeout	zuul/zuul-core/src/main/java/com/netflix/zuul/netty/timeouts/OriginTimeoutManager.java:70	      computedTimeout = originTimeout == null ? requestTimeout : originTimeout;				
glide	36	hash_agent_baseline	hash_basic	hash_advanced	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/9921b0ce48b795ab64491cf884726f4a3b492449"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/5978f48e072df1247f2b83c183c50ce34b02c8fb"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/86bf4f37c8db52bee4f918e14c447142ce0c6db5"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression listPool is @Nullable	glide/library/src/main/java/com/bumptech/glide/load/engine/DecodePath.java:69	    List<Throwable> exceptions = Preconditions.checkNotNull(listPool.acquire());				
litiengine	78	hash_agent_baseline	hash_advanced	hash_basic	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/8e2fd0982b4b8817e2a7b01fe6be522662e2bc48"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/10b09a5a717504e8344bf8731b30d87818a5db3f"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/8ed82517f68a49a67f6ff0d30b10e115ac1a5b5e"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression bimage is @Nullable	litiengine/src/de/gurkenlabs/litiengine/graphics/OverlayPixelsImageEffect.java:27	    final Graphics2D bGr = bimage.createGraphics();				
wala-util	31	hash_agent_baseline	hash_basic	hash_advanced	"=HYPERLINK(""https://github.com/Pascal-Joos/wala-util/commit/7c1011d5a03aa8118bdd7ca65a61f456c0936bf0"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/wala-util/commit/9b487f8e457f74cd60ec62b1b685923752afb711"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/wala-util/commit/34a17f09ed3008559d945a82ab2c294fa3ff9339"", ""Github"")"	UNBOX_NULLABLE	unboxing of a @Nullable value - i2	wala-util/src/main/java/com/ibm/wala/util/heapTrace/HeapTracer.java:596	        return i2 - i1;				
gson	19	hash_basic	hash_advanced	hash_agent_baseline	"=HYPERLINK(""https://github.com/Pascal-Joos/gson/commit/8f5b1dade4e8a2d7767d43c71cfd80c95abcdd16"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/gson/commit/7dd8c2e0b52294a5b1f86d1a4c4c398c4ddd6a02"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/gson/commit/2447ef6c9a07a4207f35126dd21e88a958e75bbd"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression stackTop is @Nullable	gson/gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java:755	      if (stackTop.parent != null) {				
gson	7	hash_agent_baseline	hash_basic	hash_advanced	"=HYPERLINK(""https://github.com/Pascal-Joos/gson/commit/a2f49f11a2c1891e517761aa8ade073cfe5bf77f"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/gson/commit/1271d176c21a80ed76365599b61d2867a2fcb3b1"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/gson/commit/cc10ffa33a45617fece612a4e673f90334e7d441"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression created is @Nullable	gson/gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java:103	    V result = created.value;				
litiengine	100	hash_basic	hash_advanced	hash_agent_baseline	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/bd6814bf68ae279540f1a86abe3d2754997f5f7b"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/d92b8cf5d1c07724d698e52aa02328ed0dce963a"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/ca0d91abcef98672c95844358bb903b7259d6e5e"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression this.getListEntry(column, row) is @Nullable	litiengine/src/de/gurkenlabs/litiengine/gui/ListField.java:280	            this.getListEntry(column, row)				
glide	77	hash_basic	hash_advanced	hash_agent_baseline	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/f5e7e9d900bdd8ff3ab67266156fe534f5949159"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/ade97e0d556b852193507f7bc1c3e56c371c4bd1"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/d67467cf56994f1fe94ff0293e686b643fb7278b"", ""Github"")"	UNBOX_NULLABLE	unboxing of a @Nullable value - options.get(GifOptions.DISABLE_ANIMATION)	glide/library/src/main/java/com/bumptech/glide/load/resource/gif/StreamGifDecoder.java:41	    return !options.get(GifOptions.DISABLE_ANIMATION)				
libgdx	442	hash_basic	hash_agent_baseline	hash_advanced	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/88ddb88f84269a15cf41b721f2ae7167569869b9"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/ff7148afd33c88f0c231d3fbaa9698de828dfc44"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/9290a1d89b20c446adeaa26e51677659f86a334a"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression _stream is @Nullable	libgdx/gdx/src/com/badlogic/gdx/utils/compression/lz/OutWindow.java:41	    _stream.write(_buffer, _streamPos, size);				
glide	67	hash_agent_baseline	hash_basic	hash_advanced	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/258bc2a772371fd6c5d742be9242d3226997b8ee"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/9458c99a56b10ec833c162a16c840515644201c0"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/591ca3ac235e7000df1a33fa529a55d5224dfba5"", ""Github"")"	UNBOX_NULLABLE	unboxing of a @Nullable value - options.get(COMPRESSION_QUALITY)	glide/library/src/main/java/com/bumptech/glide/load/resource/bitmap/BitmapEncoder.java:75	      int quality = options.get(COMPRESSION_QUALITY);				
spring-boot	17	hash_basic	hash_advanced	hash_agent_baseline	"=HYPERLINK(""https://github.com/Pascal-Joos/spring-boot/commit/398de640ee79389a207e0f5fd6a7021bc392cc43"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/spring-boot/commit/000051e986e57cb7cc04c0f34b0eb2f414d70266"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/spring-boot/commit/2092a7b7d5644b7f2fea6531515cb8b190a74b21"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression this.loggingSystem is @Nullable	spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/logging/LoggingApplicationListener.java:242	\t\tthis.loggingSystem.beforeInitialize();				
eureka	1	hash_basic	hash_advanced	hash_agent_baseline	"=HYPERLINK(""https://github.com/Pascal-Joos/eureka/commit/577b3622e25ccdbf3ee05cdbc003697d1b280831"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/eureka/commit/f2091409da37d949b050f416dcfe8c989ac753b1"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/eureka/commit/5721aa083059c276e2f2db141e6ff5cbe9413759"", ""Github"")"	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	eureka/eureka-core/src/main/java/com/netflix/eureka/EurekaServerContextHolder.java:44	    return holder;				
libgdx	360	hash_advanced	hash_agent_baseline	hash_basic	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/9e65381c908498ddff16cda75dff5cbbacb4673e"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/800663930aa514919cdd5e55ef7a1b34c61ecbc1"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/e19fa2a52f3f8d5a6db44feac3617fe602a2ba55"", ""Github"")"	METHOD_NO_INIT	initializer method does not guarantee @NonNull field titleFont (line 390) is initialized along all control-flow paths (remember to check for exceptions or early returns).	libgdx/gdx/src/com/badlogic/gdx/scenes/scene2d/ui/Window.java:393	    public WindowStyle() {}				
jadx	89	hash_advanced	hash_basic	hash_agent_baseline	"=HYPERLINK(""https://github.com/Pascal-Joos/jadx/commit/7c84d3924eb8feefcd904710ac4cc23a059a6db8"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/jadx/commit/2d8656690b06fe8aa58663bdc40a58d5018207eb"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/jadx/commit/c572cb4608cdcc82d21ddcaed44f6cc5efa576cf"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression assignInsn is @Nullable	jadx/jadx-core/src/main/java/jadx/core/dex/visitors/regions/LoopRegionVisitor.java:266	\t\tInsnArg iterableArg = assignInsn.getArg(0);				
libgdx	214	hash_basic	hash_advanced	hash_agent_baseline	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/465c89894cfa0f95ce648e9a463ce88a1cadb8a0"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/41b775a520a40266d609500b1ba48f9859e503b4"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/ce32ee051b72f1c0db919a806ce575fc8c72514f"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression action is @Nullable	libgdx/gdx/src/com/badlogic/gdx/scenes/scene2d/Actor.java:306	    action.setActor(this);				
jadx	84	hash_agent_baseline	hash_basic	hash_advanced	"=HYPERLINK(""https://github.com/Pascal-Joos/jadx/commit/30861c4de848c48fdcda3cc38b361596dd6c9791"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/jadx/commit/f6496090589e7e4b5788d4002668fac05d429746"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/jadx/commit/3f525ecf7945693e43e1d2671c2515f1e18c3b67"", ""Github"")"	PASS_NULLABLE	passing @Nullable parameter 'startBlock' where @NonNull is required	jadx/jadx-core/src/main/java/jadx/core/dex/visitors/finaly/MarkFinallyVisitor.java:340	\t\tInsnsSlice dupSlice = searchFromFirstBlock(checkBlock, startBlock, extractInfo);				
libgdx	67	hash_advanced	hash_basic	hash_agent_baseline	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/64837f3bcc12d600f0418797b847f22039028dd0"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/bda6aef932747ec3241263833840f01a4de12d44"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/cda3771ad7dba8cf493d2318316cf2e46623ece6"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression region is @Nullable	libgdx/gdx/src/com/badlogic/gdx/graphics/g2d/TextureRegion.java:126	    texture = region.texture;				
litiengine	22	hash_agent_baseline	hash_basic	hash_advanced	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/80bc5958f68905f749f891a60fe3e3286168d1de"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/19e39be380d5654747a25efa18a385ed0747ce4c"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/425a61b3d361ab90f4f9f99d31b1cb2713f05f63"", ""Github"")"	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	litiengine/src/de/gurkenlabs/litiengine/environment/EntitySpawner.java:104	    return this.spawnpoints;				
litiengine	56	hash_basic	hash_advanced	hash_agent_baseline	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/0a9c3399ce7a83d630ab3424f16c2e6d6d8bc374"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/5b1ae672df6a2d80e8e119670b13aa508c524491"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/3b7a707cbb5200ab842b8ff6a71101fed5bd2e1a"", ""Github"")"	UNBOX_NULLABLE	unboxing of a @Nullable value - this.y	litiengine/src/de/gurkenlabs/litiengine/environment/tilemap/xml/MapObject.java:338	      return this.y - map.getChunkOffsetY() * map.getTileHeight();				
litiengine	76	hash_advanced	hash_agent_baseline	hash_basic	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/f658c9023ffc1bea19a1e41555ea610a75ad42f3"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/92fb5108ddf0bf0a1a2f4971264c7ced4882eba7"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/d8f6ff9a8050d5b0f0ffa13c9e13cb4ee60da277"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression buffer is @Nullable	litiengine/src/de/gurkenlabs/litiengine/graphics/CreatureShadowImageEffect.java:70	    final Graphics2D graphics = buffer.createGraphics();				
libgdx	363	hash_advanced	hash_agent_baseline	hash_basic	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/130f3aa9ba0732909a12d4a4a394f3794a0ba97e"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/df5e460cb9f7449804c250ff8e3daa65160bccbd"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/89f0868cb2ca8577eb7da6e77735f3d136f29149"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression target is @Nullable	libgdx/gdx/src/com/badlogic/gdx/scenes/scene2d/utils/DragAndDrop.java:170	              target.actor.stageToLocalCoordinates(tmpVector.set(stageX, stageY));				
glide	16	hash_advanced	hash_basic	hash_agent_baseline	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/369468384a89d28757738ee7adef1739a67be79e"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/6bce4790eac624f99853c52c2b459aa549403adf"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/4aa8f484f940c5d15f1bee1bad3cadcdd56beee9"", ""Github"")"	ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	glide/library/src/main/java/com/bumptech/glide/load/engine/DecodeHelper.java:84	    resourceClass = null;				
libgdx	41	hash_advanced	hash_basic	hash_agent_baseline	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/7a4848e583469b5863992f0654e74eba9d250795"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/4f98d384b115305449e5d286876507c6f73f9f28"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/833f496177ac68858a399d6e2a2ebd64e12c7f75"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression sprite is @Nullable	libgdx/gdx/src/com/badlogic/gdx/graphics/g2d/ParticleEmitter.java:441	    float spriteWidth = sprite.getWidth();				
litiengine	110	hash_agent_baseline	hash_basic	hash_advanced	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/fc65c327feed9fc54830c93ff0e8c54f40303ff2"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/74629d4d6a948ec4c4a48ad21324023e1fc97f9c"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/464a242ea4eba84a18a76232f441e69a4a64cc2a"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression this.currentText is @Nullable	litiengine/src/de/gurkenlabs/litiengine/gui/SpeechBubble.java:271	    while (measurer.getPosition() < this.currentText.length()) {				
libgdx	331	hash_basic	hash_advanced	hash_agent_baseline	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/0b226f2ccfee6a4a28ec85f5bc6f80482aa921ae"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/84e45df3407975fe525d874451d24717395e075f"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/e91c9646b2ffeb413f2fba21dc41a50fb856de5d"", ""Github"")"	PASS_NULLABLE	passing @Nullable parameter 'c.actor' where @NonNull is required	libgdx/gdx/src/com/badlogic/gdx/scenes/scene2d/ui/Table.java:1205	        float maxHeight = c.maxHeight.get(c.actor);				
libgdx	128	hash_advanced	hash_basic	hash_agent_baseline	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/2666f98d3a9919254d62642f1896630cc2a516f3"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/a7b6429634e05b1aef82b60cd1f6e02f00eb9267"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/bfce57ab7b2905cf44cbc1fc1fcbd717f14fb381"", ""Github"")"	METHOD_NO_INIT	initializer method does not guarantee @NonNull fields positionChannel (line 36), previousPositionChannel (line 36), rotationChannel (line 36) are initialized along all control-flow paths (remember to check for exceptions or early returns).	libgdx/gdx/src/com/badlogic/gdx/graphics/g3d/particles/influencers/DynamicsInfluencer.java:57	  @Initializer				
