Benchmark	ID	Patch A	Patch B	Patch C	Type	Message	Path	Expression	SCORE(Patch A)	SCORE(Patch B)	SCORE(Patch C)	Comment
libgdx	181	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/85d35264c5dda661708496f6c0d4fdc7130123d0"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/6220a546868597db37cd262db86006c3cab7f3a9"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/96d6ea20d76051785e13087de1b533dcdabcda29"", ""Github"")"	ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	libgdx/gdx/src/com/badlogic/gdx/graphics/glutils/ETC1TextureData.java:107	    data = null;				
libgdx	100	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/01b459fe4f362da39bcd5581c7f605cb7d6b8f63"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/4974c00d627a7dddfd845980967f82794b433c8a"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/17a593480cc47237f5d1edf00e3bc3a6c4cdae69"", ""Github"")"	FIELD_NO_INIT	@NonNull field indices not initialized	libgdx/gdx/src/com/badlogic/gdx/graphics/g3d/model/data/ModelMeshPart.java:22	  public short[] indices;				
spring-boot	56	"=HYPERLINK(""https://github.com/Pascal-Joos/spring-boot/commit/b0cd341634eb2eff0581fa9cf608d7c0edb56446"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/spring-boot/commit/67c49e7643ccd42985187cf4e2dcc9c74aba6786"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/spring-boot/commit/56c768ba26ca52c4231891d62be5ba3076802428"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression type is @Nullable	spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/logging/logback/SpringBootJoranConfigurator.java:282	\t\t\t\treturn type.getConstructor().newInstance();				
libgdx	42	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/b4b158d3ae0c4c800e5e2cfdf1c88b3992608964"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/174d8beda03016600bbce6d0a6ccd21d3a1c41b7"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/a6a5b652773b3ef01a61c8555d9e2ea2cc78ef68"", ""Github"")"	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	libgdx/gdx/src/com/badlogic/gdx/graphics/g2d/ParticleEmitter.java:751	    return name;				
zuul	19	"=HYPERLINK(""https://github.com/Pascal-Joos/zuul/commit/f04d7a66fc0e89dff379d2bf6e78299f934770ce"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/zuul/commit/9b09ee09d477c7aef62e18e66cf56930733ffe74"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/zuul/commit/16e388971a4eb146409dc7a1c84cef7b9317d4e9"", ""Github"")"	UNBOX_NULLABLE	unboxing of a @Nullable value - originTimeout == null ? requestTimeout : originTimeout	zuul/zuul-core/src/main/java/com/netflix/zuul/netty/timeouts/OriginTimeoutManager.java:70	      computedTimeout = originTimeout == null ? requestTimeout : originTimeout;				
glide	36	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/9921b0ce48b795ab64491cf884726f4a3b492449"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/5978f48e072df1247f2b83c183c50ce34b02c8fb"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/86bf4f37c8db52bee4f918e14c447142ce0c6db5"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression listPool is @Nullable	glide/library/src/main/java/com/bumptech/glide/load/engine/DecodePath.java:69	    List<Throwable> exceptions = Preconditions.checkNotNull(listPool.acquire());				
litiengine	78	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/8e2fd0982b4b8817e2a7b01fe6be522662e2bc48"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/10b09a5a717504e8344bf8731b30d87818a5db3f"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/8ed82517f68a49a67f6ff0d30b10e115ac1a5b5e"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression bimage is @Nullable	litiengine/src/de/gurkenlabs/litiengine/graphics/OverlayPixelsImageEffect.java:27	    final Graphics2D bGr = bimage.createGraphics();				
wala-util	31	"=HYPERLINK(""https://github.com/Pascal-Joos/wala-util/commit/7c1011d5a03aa8118bdd7ca65a61f456c0936bf0"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/wala-util/commit/9b487f8e457f74cd60ec62b1b685923752afb711"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/wala-util/commit/34a17f09ed3008559d945a82ab2c294fa3ff9339"", ""Github"")"	UNBOX_NULLABLE	unboxing of a @Nullable value - i2	wala-util/src/main/java/com/ibm/wala/util/heapTrace/HeapTracer.java:596	        return i2 - i1;				
gson	19	"=HYPERLINK(""https://github.com/Pascal-Joos/gson/commit/8f5b1dade4e8a2d7767d43c71cfd80c95abcdd16"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/gson/commit/7dd8c2e0b52294a5b1f86d1a4c4c398c4ddd6a02"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/gson/commit/2447ef6c9a07a4207f35126dd21e88a958e75bbd"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression stackTop is @Nullable	gson/gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java:755	      if (stackTop.parent != null) {				
gson	7	"=HYPERLINK(""https://github.com/Pascal-Joos/gson/commit/a2f49f11a2c1891e517761aa8ade073cfe5bf77f"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/gson/commit/1271d176c21a80ed76365599b61d2867a2fcb3b1"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/gson/commit/cc10ffa33a45617fece612a4e673f90334e7d441"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression created is @Nullable	gson/gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java:103	    V result = created.value;				
litiengine	100	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/bd6814bf68ae279540f1a86abe3d2754997f5f7b"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/d92b8cf5d1c07724d698e52aa02328ed0dce963a"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/ca0d91abcef98672c95844358bb903b7259d6e5e"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression this.getListEntry(column, row) is @Nullable	litiengine/src/de/gurkenlabs/litiengine/gui/ListField.java:280	            this.getListEntry(column, row)				
glide	77	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/f5e7e9d900bdd8ff3ab67266156fe534f5949159"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/ade97e0d556b852193507f7bc1c3e56c371c4bd1"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/d67467cf56994f1fe94ff0293e686b643fb7278b"", ""Github"")"	UNBOX_NULLABLE	unboxing of a @Nullable value - options.get(GifOptions.DISABLE_ANIMATION)	glide/library/src/main/java/com/bumptech/glide/load/resource/gif/StreamGifDecoder.java:41	    return !options.get(GifOptions.DISABLE_ANIMATION)				
libgdx	442	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/88ddb88f84269a15cf41b721f2ae7167569869b9"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/ff7148afd33c88f0c231d3fbaa9698de828dfc44"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/9290a1d89b20c446adeaa26e51677659f86a334a"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression _stream is @Nullable	libgdx/gdx/src/com/badlogic/gdx/utils/compression/lz/OutWindow.java:41	    _stream.write(_buffer, _streamPos, size);				
glide	67	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/258bc2a772371fd6c5d742be9242d3226997b8ee"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/9458c99a56b10ec833c162a16c840515644201c0"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/591ca3ac235e7000df1a33fa529a55d5224dfba5"", ""Github"")"	UNBOX_NULLABLE	unboxing of a @Nullable value - options.get(COMPRESSION_QUALITY)	glide/library/src/main/java/com/bumptech/glide/load/resource/bitmap/BitmapEncoder.java:75	      int quality = options.get(COMPRESSION_QUALITY);				
spring-boot	17	"=HYPERLINK(""https://github.com/Pascal-Joos/spring-boot/commit/398de640ee79389a207e0f5fd6a7021bc392cc43"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/spring-boot/commit/000051e986e57cb7cc04c0f34b0eb2f414d70266"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/spring-boot/commit/2092a7b7d5644b7f2fea6531515cb8b190a74b21"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression this.loggingSystem is @Nullable	spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/logging/LoggingApplicationListener.java:242	\t\tthis.loggingSystem.beforeInitialize();				
libgdx	191	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/2700994e6a7109ad4f2c48e24d01da11a1ff3ea3"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/06093e69f9025b6a8333f8184e46435319ea1fa4"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/be2bce3ac9011ec02041ef98c88cde8f73b59b23"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression textureRegion is @Nullable	libgdx/gdx/src/com/badlogic/gdx/maps/tiled/BaseTmxMapLoader.java:404	"          float objectWidth = element.getFloatAttribute(""width"", textureRegion.getRegionWidth());"				
libgdx	113	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/20cf048d27bc006beda3898e49a1d4c5c4fd692e"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/91a13a7ce33cf662c0912cf2a1bf72766e92370b"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/c006221293f05c8c97e532c4ccb496dfe99bae50"", ""Github"")"	ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	libgdx/gdx/src/com/badlogic/gdx/graphics/g3d/particles/ResourceData.java:127	      this.filename = filename;				
litiengine	120	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/451cc4ffda2ca71beb1e3c78e536e120c741f914"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/3d4dc2df0b464a81362993716e5fc1d91129d6ee"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/bcd3fe5ed91f3ebfec98643a8ab631993a5a59f4"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression this.collisionBoxes.get(type) is @Nullable	litiengine/src/de/gurkenlabs/litiengine/physics/PhysicsEngine.java:121	      this.collisionBoxes.get(type).clear();				
eureka	4	"=HYPERLINK(""https://github.com/Pascal-Joos/eureka/commit/022d7cbc208d8857214f367d47cd4de56b97aa85"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/eureka/commit/07a4d567fa5f0eed2b3c735079cc18228bda0052"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/eureka/commit/6b2cbb3a8ce323d57f301ba05186284555aa5b4a"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression resourceRecordSetWithHostedZone is @Nullable	eureka/eureka-core/src/main/java/com/netflix/eureka/aws/Route53Binder.java:276	      resourceRecordSetWithHostedZone				
jadx	9	"=HYPERLINK(""https://github.com/Pascal-Joos/jadx/commit/b9ad7294b89bf02a5ce731d9d7023b454cd8d0ee"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/jadx/commit/8944e11046b673290a55b5b30acf68bd5e11e218"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/jadx/commit/67ef5155e3a5aa341c836d79d017bef57a070f1b"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression condition is @Nullable	jadx/jadx-core/src/main/java/jadx/core/codegen/ConditionGen.java:56	\t\tswitch (condition.getMode()) {				
libgdx	437	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/f329d12aa4ca415376e9eacd6083969c82b593d6"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/9cad0137920c9d0dfcf74e62b6ce1a7b2eeb4efe"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/cc485340cb7e66fc50fdfc7c86cd5eb6971eba3a"", ""Github"")"	FIELD_NO_INIT	@NonNull field _hash not initialized	libgdx/gdx/src/com/badlogic/gdx/utils/compression/lz/BinTree.java:12	  int[] _hash;				
libgdx	63	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/ffe74908da67a4aebbc66b083ae1af457c77e184"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/7eed90be3f64fd373341b99ade04cab26d6d4dfe"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/5cd96064208fb6e722d4cf20e557da55398b61bc"", ""Github"")"	FIELD_NO_INIT	@NonNull field TextureAtlas$TextureAtlasData$Region.values not initialized	libgdx/gdx/src/com/badlogic/gdx/graphics/g2d/TextureAtlas.java:587	      public @Null int[][] values;				
libgdx	83	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/95449f86a9c3bba12ac87f2f445717f04420f481"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/aeee6a9a71acaae1bcb69edf954ecd1e3a5ba706"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/5476d2c29697a9c5b601ff03efb2c55244916088"", ""Github"")"	PASS_NULLABLE	passing @Nullable parameter 'bindPose.keys[j].id' where @NonNull is required	libgdx/gdx/src/com/badlogic/gdx/graphics/g3d/ModelInstance.java:359	          bindPose.keys[j] = getNode(bindPose.keys[j].id);				
litiengine	118	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/a1f967aaf91b97195f30b34b5755e394598e8552"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/923840b3e8df86921e42cc6069ef83caff708826"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/85559041a141032588b6e11ff69332c816fe3db1"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression this.collisionEntities.get(entity.getCollisionType()) is @Nullable	litiengine/src/de/gurkenlabs/litiengine/physics/PhysicsEngine.java:78	        this.collisionEntities.get(entity.getCollisionType()).add(entity);				
libgdx	249	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/8d9c2689f08bb8b67cda1895ee58539062fc2771"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/1899812ba9299bb7144b92c6ca0a7d911fa07bf0"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/852e67e8fa4b0764ddd4766ac5dc30a63827bba4"", ""Github"")"	ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	libgdx/gdx/src/com/badlogic/gdx/scenes/scene2d/ui/Cell.java:999	    expandX = null;				
jadx	61	"=HYPERLINK(""https://github.com/Pascal-Joos/jadx/commit/a3dbff26dc12cf3ebf1e3f64005c418b35472f24"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/jadx/commit/c2058a2e5f6d29cb9a1f0d6b79109ba0a8782002"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/jadx/commit/a320a70cfb824e453a3b95ae5620058df210e957"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression cond is @Nullable	jadx/jadx-core/src/main/java/jadx/core/dex/regions/conditions/IfCondition.java:121	\t\tMode mode = cond.getMode();				
libgdx	252	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/365b41608f49b969f11e26eb3df2c2b40848093e"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/23f9647d02113293dd4e3fec073e027e41a30248"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/7163c753c200b685df18bd0a532eea38f31e5cb7"", ""Github"")"	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	libgdx/gdx/src/com/badlogic/gdx/scenes/scene2d/ui/Cell.java:81	    return (T) actor;				
litiengine	117	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/f197996532137c9a71104f7c41061aee8eaea6aa"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/7699433d9028edd640332f7adcb277fbc1765378"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/5b173523103efd0a9dc2f3bd5d9622ab922ea37f"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression this.collisionEntities.get(Collision.ANY) is @Nullable	litiengine/src/de/gurkenlabs/litiengine/physics/PhysicsEngine.java:84	    this.collisionEntities.get(Collision.ANY).add(entity);				
jadx	98	"=HYPERLINK(""https://github.com/Pascal-Joos/jadx/commit/f16d9c0575caaee89f7135ccceb5b4b285b9f4dd"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/jadx/commit/82a88b2e9fcdc192bfc294b8d89bdf10e3c713dc"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/jadx/commit/40f41a3d5efea86d0f5870ed2fa7bd11c656ca31"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression d is @Nullable	jadx/jadx-core/src/main/java/jadx/core/utils/BlockUtils.java:1185	\t\t\t\td.set(block.getId());				
litiengine	29	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/b6690e7cf8300961516cb21471faa022d83d464c"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/e0e3020d8ec3c0a05598b6085f0be2e7df6835fb"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/370c1219001ce8dad8e2a9f16d07d83e6d90a328"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression this.renderables.get(renderType) is @Nullable	litiengine/src/de/gurkenlabs/litiengine/environment/Environment.java:458	      this.renderables.get(renderType).clear();				
litiengine	30	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/e95aae3c1f156c23d63f37ac50401aa1c50cc981"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/228fa58eb2b303fec18fe9a89548a2d30cd8d0dc"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/ccbdf82672f3d6f54456c56d33a746900020ebda"", ""Github"")"	DEREFERENCE_NULLABLE	enhanced-for expression this.renderListeners.get(type) is @Nullable	litiengine/src/de/gurkenlabs/litiengine/environment/Environment.java:2571	    for (EnvironmentRenderedListener listener : this.renderListeners.get(type)) {				
libgdx	183	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/cad4d076e2f6cf81cc0dc32d2f17fc8ccb3738d8"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/541829db1df00fd5a3ab77fed962bb187699795f"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/13d340606a96efe1e2b83c69c31d3888db9439b6"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression side is @Nullable	libgdx/gdx/src/com/badlogic/gdx/graphics/glutils/FrameBufferCubemap.java:182	        side.glEnum,				
litiengine	97	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/722979dc528854ca4a7a3d4bfc0a259b21d70df6"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/7e57b5cde1dc30f2db0121f6274a00839c0c75e9"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/ec9ea1cd6c1db9974f358fcdf2ddb61c3ca4f6c3"", ""Github"")"	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	litiengine/src/de/gurkenlabs/litiengine/gui/GuiComponent.java:264	    return this.name;				
