Benchmark	ID	Tool A	Tool B	Tool C	Patch A	Patch B	Patch C	Type	Message	Path	Expression	SCORE(Patch A)	SCORE(Patch B)	SCORE(Patch C)	Comment
libgdx	128	hash_advanced	hash_basic	hash_agent_baseline	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/2666f98d3a9919254d62642f1896630cc2a516f3"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/a7b6429634e05b1aef82b60cd1f6e02f00eb9267"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/bfce57ab7b2905cf44cbc1fc1fcbd717f14fb381"", ""Github"")"	METHOD_NO_INIT	initializer method does not guarantee @NonNull fields positionChannel (line 36), previousPositionChannel (line 36), rotationChannel (line 36) are initialized along all control-flow paths (remember to check for exceptions or early returns).	libgdx/gdx/src/com/badlogic/gdx/graphics/g3d/particles/influencers/DynamicsInfluencer.java:57	  @Initializer				
glide	17	hash_agent_baseline	hash_basic	hash_advanced	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/6b48a41b87283033f21a0a473e10d4ef034460e9"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/237837945abd68b8c2dc5a12dbc288ac8c823733"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/c4135e7ba30d92f28be15991cb6e0206311a3687"", ""Github"")"	ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	glide/library/src/main/java/com/bumptech/glide/load/engine/DecodeHelper.java:85	    transcodeClass = null;				
gson	2	hash_basic	hash_advanced	hash_agent_baseline	"=HYPERLINK(""https://github.com/Pascal-Joos/gson/commit/6ab8f5ceeec572e434c71717887b50b440b0871a"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/gson/commit/bcd611b99641ffe341c228a879bb12ec360a0128"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/gson/commit/20532a6c8c82f93f1435307475e47c89c39057b3"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression longAdapter.read(in) is @Nullable	gson/gson/src/main/java/com/google/gson/Gson.java:455	          long value = longAdapter.read(in).longValue();				
libgdx	355	hash_basic	hash_agent_baseline	hash_advanced	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/90bee9d53ae5ed744ac177ec0f0c135ad7e560b3"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/b8bf7f3342730d943755ecc7ff1467ea070545f8"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/b9273f00e2c59d70d612426918c3a119bda45427"", ""Github"")"	METHOD_NO_INIT	initializer method does not guarantee @NonNull field columnSizes (line 47) is initialized along all control-flow paths (remember to check for exceptions or early returns).	libgdx/gdx/src/com/badlogic/gdx/scenes/scene2d/ui/VerticalGroup.java:52	  public VerticalGroup() {				
libgdx	113	hash_basic	hash_advanced	hash_agent_baseline	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/20cf048d27bc006beda3898e49a1d4c5c4fd692e"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/91a13a7ce33cf662c0912cf2a1bf72766e92370b"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/c006221293f05c8c97e532c4ccb496dfe99bae50"", ""Github"")"	ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	libgdx/gdx/src/com/badlogic/gdx/graphics/g3d/particles/ResourceData.java:127	      this.filename = filename;				
libgdx	63	hash_agent_baseline	hash_advanced	hash_basic	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/ffe74908da67a4aebbc66b083ae1af457c77e184"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/7eed90be3f64fd373341b99ade04cab26d6d4dfe"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/5cd96064208fb6e722d4cf20e557da55398b61bc"", ""Github"")"	FIELD_NO_INIT	@NonNull field TextureAtlas$TextureAtlasData$Region.values not initialized	libgdx/gdx/src/com/badlogic/gdx/graphics/g2d/TextureAtlas.java:587	      public @Null int[][] values;				
libgdx	83	hash_advanced	hash_basic	hash_agent_baseline	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/95449f86a9c3bba12ac87f2f445717f04420f481"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/aeee6a9a71acaae1bcb69edf954ecd1e3a5ba706"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/5476d2c29697a9c5b601ff03efb2c55244916088"", ""Github"")"	PASS_NULLABLE	passing @Nullable parameter 'bindPose.keys[j].id' where @NonNull is required	libgdx/gdx/src/com/badlogic/gdx/graphics/g3d/ModelInstance.java:359	          bindPose.keys[j] = getNode(bindPose.keys[j].id);				
libgdx	249	hash_basic	hash_advanced	hash_agent_baseline	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/8d9c2689f08bb8b67cda1895ee58539062fc2771"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/1899812ba9299bb7144b92c6ca0a7d911fa07bf0"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/852e67e8fa4b0764ddd4766ac5dc30a63827bba4"", ""Github"")"	ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	libgdx/gdx/src/com/badlogic/gdx/scenes/scene2d/ui/Cell.java:999	    expandX = null;				
jadx	98	hash_advanced	hash_agent_baseline	hash_basic	"=HYPERLINK(""https://github.com/Pascal-Joos/jadx/commit/f16d9c0575caaee89f7135ccceb5b4b285b9f4dd"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/jadx/commit/82a88b2e9fcdc192bfc294b8d89bdf10e3c713dc"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/jadx/commit/40f41a3d5efea86d0f5870ed2fa7bd11c656ca31"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression d is @Nullable	jadx/jadx-core/src/main/java/jadx/core/utils/BlockUtils.java:1185	\t\t\t\td.set(block.getId());				
litiengine	97	hash_agent_baseline	hash_basic	hash_advanced	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/722979dc528854ca4a7a3d4bfc0a259b21d70df6"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/7e57b5cde1dc30f2db0121f6274a00839c0c75e9"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/ec9ea1cd6c1db9974f358fcdf2ddb61c3ca4f6c3"", ""Github"")"	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	litiengine/src/de/gurkenlabs/litiengine/gui/GuiComponent.java:264	    return this.name;				
litiengine	114	hash_advanced	hash_agent_baseline	hash_basic	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/3c7c056c4db85715b6ab082f23099d0478e26c74"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/322b1864d2036802db5fadedef648173288e28ec"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/da15c94fb727545e4d751df750992e1fe329ff8b"", ""Github"")"	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	litiengine/src/de/gurkenlabs/litiengine/input/Input.java:50	    return gamePadManager;				
