Benchmark	ID	Patch A	Patch B	Patch C	Type	Message	Path	Expression	SCORE (Patch A)_Michael	SCORE (Patch B)_Michael	SCORE (Patch C)_Michael	Comment_Michael	SCORE (Patch A)_Martin	SCORE (Patch B)_Martin	SCORE (Patch C)_Martin	Comment_Martin	SCORE (Patch A) Consolidated	SCORE (Patch B) Consolidated	SCORE (Patch C) Consolidated	New or changed errors patch A	New or change errors patch B	New or changed errors patch C
libgdx	100	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/01b459fe4f362da39bcd5581c7f605cb7d6b8f63"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/4974c00d627a7dddfd845980967f82794b433c8a"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/17a593480cc47237f5d1edf00e3bc3a6c4cdae69"", ""Github"")"	FIELD_NO_INIT	@NonNull field indices not initialized	libgdx/gdx/src/com/badlogic/gdx/graphics/g3d/model/data/ModelMeshPart.java:22	public short[] indices;	3	1	2	A initialized the field with a placeholder value, which seems wrong. B could be correct, but I'm not 100% sure whether all references of the field are handled (correctly). C appears to be missing some references of the field.	1	3	3	This is a data record that's loaded from Json. The loaders (e.g., https://github.com/Pascal-Joos/libgdx/blob/4974c00d627a7dddfd845980967f82794b433c8a/gdx/src/com/badlogic/gdx/graphics/g3d/loader/G3dModelLoader.java) seem to be supposed to always initialize it to an empty array, even if there's nothing there. So, patch A is a perfectly reasonable defensive change (in case a loader is implemented incorrectly), but patches B and C's choices to make it nullable are incorrect.						
libgdx	42	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/b4b158d3ae0c4c800e5e2cfdf1c88b3992608964"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/174d8beda03016600bbce6d0a6ccd21d3a1c41b7"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/a6a5b652773b3ef01a61c8555d9e2ea2cc78ef68"", ""Github"")"	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	libgdx/gdx/src/com/badlogic/gdx/graphics/g2d/ParticleEmitter.java:751	return name;	2	1	3	Using a default, empty name seems reasonable. A and B do this; B does it more elegantly.	2	1	1	"The issue concerns what to do about an uninitialized ""name"" variable (a string). There is a single place where it's used, to look up the class by name. Patches A and B solve the problem by making the name the empty string when it's uninitialized, though patch A is unnecessarily verbose. Patch C solves the problem by making the getter nullable and handling it at the call site. I'm okay with both approaches, and don't have a strong preference between them."						
zuul	19	"=HYPERLINK(""https://github.com/Pascal-Joos/zuul/commit/f04d7a66fc0e89dff379d2bf6e78299f934770ce"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/zuul/commit/9b09ee09d477c7aef62e18e66cf56930733ffe74"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/zuul/commit/16e388971a4eb146409dc7a1c84cef7b9317d4e9"", ""Github"")"	UNBOX_NULLABLE	unboxing of a @Nullable value - originTimeout == null ? requestTimeout : originTimeout	zuul/zuul-core/src/main/java/com/netflix/zuul/netty/timeouts/OriginTimeoutManager.java:70	computedTimeout = originTimeout == null ? requestTimeout : originTimeout;	1	3	2	It's safe to cast to non-null because of the two if checks, which is what A does. B just invents some value. C is equivalent to A, but a bit lengthy.	1	3	1	"This is definitely a false positive, since the ""both are null"" case is checked just above. Patch A solves the problem with a suppression, which is fine (the reason is obvious). Patch C splits the two cases, which is also obviously correct and is a reasonable rewrite. Patch B incorrectly tries to actually handle the null case."						
glide	36	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/9921b0ce48b795ab64491cf884726f4a3b492449"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/5978f48e072df1247f2b83c183c50ce34b02c8fb"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/86bf4f37c8db52bee4f918e14c447142ce0c6db5"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression listPool is @Nullable	glide/library/src/main/java/com/bumptech/glide/load/engine/DecodePath.java:69	List<Throwable> exceptions = Preconditions.checkNotNull(listPool.acquire());	3	3	2	B doesn't remove the warning. C might be what the developers had in mind, but the warning remains as NullAway doesn't understand the null check. A ensures safety, but removes the functionality implemented with Preconditions	2	3	3	The correct thing to do is to null check both listPool and listPool.acquire(). All three patches are completely wrong in at least one way, and none of them are really salvagable, although if one is it's probably patch A? Patch A does null-check both, but then ruins it by completely messing up the release semantics. Patch B shouldn't even resolve the error; I'm not sure why it does (pascal.joos@outlook.de should double-check the experimental infra). Patch C switches the null check from listPool.acquire() to listPool, which is also not right. (It's important to check that listPool.acquire() is nonnull because the pool will return null if it is empty, which I don't see why would be guaranteed here.)				0	1	1
wala-util	31	"=HYPERLINK(""https://github.com/Pascal-Joos/wala-util/commit/7c1011d5a03aa8118bdd7ca65a61f456c0936bf0"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/wala-util/commit/9b487f8e457f74cd60ec62b1b685923752afb711"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/wala-util/commit/34a17f09ed3008559d945a82ab2c294fa3ff9339"", ""Github"")"	UNBOX_NULLABLE	unboxing of a @Nullable value - i2	wala-util/src/main/java/com/ibm/wala/util/heapTrace/HeapTracer.java:596	return i2 - i1;	2	2	1	Cast, as done by C, seems safe, assuming that registerObject() is called before calling compare(), which I understand to be the usage protocol. A and B will also give correct runtime behavior, but handle a case that should never occur.	1	1	3	compare() implementation should work  regardless of implementation details (eg relying on things being in the sizeCount map), IMO. So, the null-safe patches A and B are correct, and the warning suppression (on just i2, which is inconsistent!) in patch C is wrong.						
gson	19	"=HYPERLINK(""https://github.com/Pascal-Joos/gson/commit/8f5b1dade4e8a2d7767d43c71cfd80c95abcdd16"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/gson/commit/7dd8c2e0b52294a5b1f86d1a4c4c398c4ddd6a02"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/gson/commit/2447ef6c9a07a4207f35126dd21e88a958e75bbd"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression stackTop is @Nullable	gson/gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java:755	if (stackTop.parent != null) {	1	3	1	A and C are equivalent and look fine. B clutters the code with lots of (unnecessary, it seems) checks.	1	2	1	All three patches include the right fix, which is to check stackTop for null, too (it clearly can be - this.stack is nullable). Patch B includes a bunch of extraneous null checks in a nearby method.						
gson	7	"=HYPERLINK(""https://github.com/Pascal-Joos/gson/commit/a2f49f11a2c1891e517761aa8ade073cfe5bf77f"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/gson/commit/1271d176c21a80ed76365599b61d2867a2fcb3b1"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/gson/commit/cc10ffa33a45617fece612a4e673f90334e7d441"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression created is @Nullable	gson/gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java:103	V result = created.value;	2	2	2	The true passed to find() ensures that created exists, i.e., safe to cast to non-null. All three patches give the right behavior, but A introduced another, unrelated change, while B and C handle a case that never occurs.	1	3	3	This is definitely a false positive, because calling create always returns nonnull when the second argument is true. So, handling the null is wrong; suppressing like patch A does is correct. Patch A makes a similar fix in a nearby file, but it appears to have the same semantics to me so as an engineer I'd be comfortable merging them together, so I'm not penalizing patch A for that.						
litiengine	100	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/bd6814bf68ae279540f1a86abe3d2754997f5f7b"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/d92b8cf5d1c07724d698e52aa02328ed0dce963a"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/ca0d91abcef98672c95844358bb903b7259d6e5e"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression this.getListEntry(column, row) is @Nullable	litiengine/src/de/gurkenlabs/litiengine/gui/ListField.java:280	this.getListEntry(column, row)	2	3	1	B goes beyond the specific error. A is correct, but adds unnecessary code. C looks best.	1	2	1	There seems like there should be some kind of represenation invariant that makes the null-checking unnecessary, but the code isn't documented and is spagetti-like enough that I can't see one that's actually being enforced. All three patches try to defensively prevent the dereference in roughly the same way, but patch B makes some other unnecessary and incorrect semantic changes.						
glide	77	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/f5e7e9d900bdd8ff3ab67266156fe534f5949159"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/ade97e0d556b852193507f7bc1c3e56c371c4bd1"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/d67467cf56994f1fe94ff0293e686b643fb7278b"", ""Github"")"	UNBOX_NULLABLE	unboxing of a @Nullable value - options.get(GifOptions.DISABLE_ANIMATION)	glide/library/src/main/java/com/bumptech/glide/load/resource/gif/StreamGifDecoder.java:41	return !options.get(GifOptions.DISABLE_ANIMATION)	2	1	2	Can probably be casted, as done by B. A and C are likely also correct, but adds several code lines just to handle a case that won't occur.	3	1	3	This is a false postiive, so the suppression is correct. The boolean is defaulted to false in GifOptions.						
glide	67	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/258bc2a772371fd6c5d742be9242d3226997b8ee"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/9458c99a56b10ec833c162a16c840515644201c0"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/591ca3ac235e7000df1a33fa529a55d5224dfba5"", ""Github"")"	UNBOX_NULLABLE	unboxing of a @Nullable value - options.get(COMPRESSION_QUALITY)	glide/library/src/main/java/com/bumptech/glide/load/resource/bitmap/BitmapEncoder.java:75	int quality = options.get(COMPRESSION_QUALITY);	2	2	1	Similar to glide-77.	2	3	1	This is a false positive (the option is defaulted to 90 on line 41), so Patch C's suppression is best. Patches A and B unnecessarily add null checks, but Patch A defaults to 90 while Patch B incorrectly defaults to 100. Patch A is semantically equivalent but wasteful, which is why I gave it a 2 instead of a 3; patch B is wrong.						
spring-boot	17	"=HYPERLINK(""https://github.com/Pascal-Joos/spring-boot/commit/398de640ee79389a207e0f5fd6a7021bc392cc43"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/spring-boot/commit/000051e986e57cb7cc04c0f34b0eb2f414d70266"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/spring-boot/commit/2092a7b7d5644b7f2fea6531515cb8b190a74b21"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression this.loggingSystem is @Nullable	spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/logging/LoggingApplicationListener.java:242	\t\tthis.loggingSystem.beforeInitialize();	2	1	2	Naming suggest that casting to non-null is okay, as done by B. A and C are also correct, but less concise.	3	2	2	The logging system shouldn't ever be null; despite the @Nullable annotation that NAA has placed on LoggingSystem.get, it actually asserts that its result is nonnull. Certainly this shouldn't be handled at a call-site, so suppressions a la patches B and C are the better option. The better fix, though, would be to make LoggingSystem.get's return type nonnull.						
