Benchmark	ID	Tool A	Tool B	Tool C	Patch A	Patch B	Patch C	Type	Message	Path	Expression	SCORE (Patch A) Consolidated	SCORE (Patch B) Consolidated	SCORE (Patch C) Consolidated	SCORE_A_Reviewer_1	SCORE_B_Reviewer_1	SCORE_C_Reviewer_1	SCORE_A_Reviewer_2	SCORE_B_Reviewer_2	SCORE_C_Reviewer_2	SCORE_A_Reviewer_3	SCORE_B_Reviewer_3	SCORE_C_Reviewer_3	Reviewer_1_Comment	Reviewer_2_Comment	Reviewer_3_Comment	Consolidation_Comment	File_Type
libgdx	102	hash_basic	hash_agent_baseline	hash_advanced	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/7679df3b7de21454bffdf93ec3848a72c83a53fc"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/cf106112af94e5bac915bebe2e724fc43778a6bf"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/3fffa1db682006519b41245dda7f02f7327cea12"", ""Github"")"	PASS_NULLABLE	passing @Nullable parameter 'channelDescriptor' where @NonNull is required	libgdx/gdx/src/com/badlogic/gdx/graphics/g3d/particles/ParallelArray.java:202	return addChannel(channelDescriptor, null);	3	2	2	3	2	2							A addresses the wrong parameter. B and C raise a runtime error that contradicts the nullable annotation, but may be the best choice here.				agreement
spring-boot	56	hash_advanced	hash_basic	hash_agent_baseline	"=HYPERLINK(""https://github.com/Pascal-Joos/spring-boot/commit/b0cd341634eb2eff0581fa9cf608d7c0edb56446"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/spring-boot/commit/67c49e7643ccd42985187cf4e2dcc9c74aba6786"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/spring-boot/commit/56c768ba26ca52c4231891d62be5ba3076802428"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression type is @Nullable	spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/logging/logback/SpringBootJoranConfigurator.java:282	\t\t\t\treturn type.getConstructor().newInstance();	1	1	1	1	1	1							Apart from formatting, all three do the same, which looks correct.				agreement
litiengine	78	hash_agent_baseline	hash_advanced	hash_basic	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/8e2fd0982b4b8817e2a7b01fe6be522662e2bc48"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/10b09a5a717504e8344bf8731b30d87818a5db3f"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/8ed82517f68a49a67f6ff0d30b10e115ac1a5b5e"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression bimage is @Nullable	litiengine/src/de/gurkenlabs/litiengine/graphics/OverlayPixelsImageEffect.java:27	final Graphics2D bGr = bimage.createGraphics();	1	3	1	1	3	1							getCompatibleImage() may return null when height or width is zero, i.e., casting to non-null (as done by B) is unsafe. The fall-back in A and C seems reasonable, as there's nothing to do for zero-height or zero-width images.				agreement
libgdx	442	hash_basic	hash_agent_baseline	hash_advanced	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/88ddb88f84269a15cf41b721f2ae7167569869b9"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/ff7148afd33c88f0c231d3fbaa9698de828dfc44"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/9290a1d89b20c446adeaa26e51677659f86a334a"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression _stream is @Nullable	libgdx/gdx/src/com/badlogic/gdx/utils/compression/lz/OutWindow.java:41	_stream.write(_buffer, _streamPos, size);	1	1	1	1	1	1							All three the same and correct.				agreement
libgdx	191	hash_basic	hash_advanced	hash_agent_baseline	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/2700994e6a7109ad4f2c48e24d01da11a1ff3ea3"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/06093e69f9025b6a8333f8184e46435319ea1fa4"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/be2bce3ac9011ec02041ef98c88cde8f73b59b23"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression textureRegion is @Nullable	libgdx/gdx/src/com/badlogic/gdx/maps/tiled/BaseTmxMapLoader.java:404	"          float objectWidth = element.getFloatAttribute(""width"", textureRegion.getRegionWidth());"	3	1	3	3	1	3	3	2	3				It actually can't be null; will always be set.  cast is best.	Definitely a false positive: the texture region is set in the constructor of the relevant class: https://github.com/Pascal-Joos/libgdx/blob/5f58c8d22a5793d57c3934c4abfb56fca3dbe327/gdx/src/com/badlogic/gdx/maps/tiled/objects/TiledMapTileMapObject.java#L42. Patches A and C are therefore just wrong. Patch B is on the right track, but it should only suppress the warning in one place instead of doing it in a bunch of places.		MS: this depends on how we handle triggered errors from casts (We decided to score such as 1 -[Pascal])	consolidation
libgdx	113	hash_basic	hash_advanced	hash_agent_baseline	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/20cf048d27bc006beda3898e49a1d4c5c4fd692e"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/91a13a7ce33cf662c0912cf2a1bf72766e92370b"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/c006221293f05c8c97e532c4ccb496dfe99bae50"", ""Github"")"	ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	libgdx/gdx/src/com/badlogic/gdx/graphics/g3d/particles/ResourceData.java:127	this.filename = filename;	2	3	2	2	3	3	3	3	2				I feel like Annotator probably propagated `@Nullable` annotations too eagerly; doesn't seem like this parameter should ever be null.  Patch A does a defensive check which is fine, but ideally one would try to get rid of the `@Nullable` annotation the right way.  Patches B and C don't do the job.  (C gets rid of the annotation but doesn't reckon with the new warnings that will cause.)	Annotations should express normal behavior, and based on the way that the asset filename is decided (from the filename of an asset or else null-checked first), it's clearly intented that it should be nonnull (see e.g. https://github.com/Pascal-Joos/libgdx/blob/5f58c8d22a5793d57c3934c4abfb56fca3dbe327/gdx/src/com/badlogic/gdx/assets/AssetManager.java#L280, which is the source of the null flow). Patch C recognizes this, but gets a 2 because it triggers new errors and is therefore incomplete; patch A is worse than doing nothing; patch B tries to thread the nullability through the whole program, which seems to _work_ but clearly isn't the intended semantics.		MK: I can agree on 2 3 2	consolidation
litiengine	120	hash_basic	hash_agent_baseline	hash_advanced	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/451cc4ffda2ca71beb1e3c78e536e120c741f914"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/3d4dc2df0b464a81362993716e5fc1d91129d6ee"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/bcd3fe5ed91f3ebfec98643a8ab631993a5a59f4"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression this.collisionBoxes.get(type) is @Nullable	litiengine/src/de/gurkenlabs/litiengine/physics/PhysicsEngine.java:121	this.collisionBoxes.get(type).clear();	3	3	1	2	2	1	3	3	1				can't be null but nullaway can't prove, cast is best	The constructor of the class always add entries for each of the Collision enum values (except NONE), so looking them up will always lead to a nonnull value, since the map is never cleared.		MS: I can agree on 3 3 1, I think I messed up originally	consolidation
eureka	4	hash_advanced	hash_basic	hash_agent_baseline	"=HYPERLINK(""https://github.com/Pascal-Joos/eureka/commit/022d7cbc208d8857214f367d47cd4de56b97aa85"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/eureka/commit/07a4d567fa5f0eed2b3c735079cc18228bda0052"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/eureka/commit/6b2cbb3a8ce323d57f301ba05186284555aa5b4a"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression resourceRecordSetWithHostedZone is @Nullable	eureka/eureka-core/src/main/java/com/netflix/eureka/aws/Route53Binder.java:276	resourceRecordSetWithHostedZone	2	2	2	2	2	2	2	2	3				hasValue returning true ensures non-null.  Null check is not ideal but safe.	hasValue can only return true if the input is nonnull (https://github.com/Pascal-Joos/eureka/blob/022d7cbc208d8857214f367d47cd4de56b97aa85/eureka-core/src/main/java/com/netflix/eureka/aws/Route53Binder.java#L326), so all three patches are wrong. Patches A and B are semantically equivalent, unlike patch C, though, so they're better.		MK: willing to agree to 222 because patch C, while not semantically equivalent _in general_, only differs in the (impossible) null case. I think it's worse than the other two, though	consolidation
jadx	9	hash_basic	hash_advanced	hash_agent_baseline	"=HYPERLINK(""https://github.com/Pascal-Joos/jadx/commit/b9ad7294b89bf02a5ce731d9d7023b454cd8d0ee"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/jadx/commit/8944e11046b673290a55b5b30acf68bd5e11e218"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/jadx/commit/67ef5155e3a5aa341c836d79d017bef57a070f1b"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression condition is @Nullable	jadx/jadx-core/src/main/java/jadx/core/codegen/ConditionGen.java:56	\t\tswitch (condition.getMode()) {	2	3	2	2	3	2	3	3	3				I doubt this can actually be null; maybe annotator pushing `@Nullable` far from root cause.  I think a null check is better than casts, but still not ideal.	The design of the code makes it clear that condition is not supposed to be nullable, so the right fix is to remove that Nullable annotation on the parameter and then unwind the consequences. It seems like NAA has gotten this pretty badly wrong, and all of the models are in a position where there's not really any way to win without undoing a bunch of its work. Patches A and C are marginally better than patch B, but I wouldn't consider any of them if I were a dev - I'd insist on getting rid of the unnessary nullability.		MK: willing to agree to 232	consolidation
libgdx	437	hash_advanced	hash_agent_baseline	hash_basic	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/f329d12aa4ca415376e9eacd6083969c82b593d6"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/9cad0137920c9d0dfcf74e62b6ce1a7b2eeb4efe"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/cc485340cb7e66fc50fdfc7c86cd5eb6971eba3a"", ""Github"")"	FIELD_NO_INIT	@NonNull field _hash not initialized	libgdx/gdx/src/com/badlogic/gdx/utils/compression/lz/BinTree.java:12	int[] _hash;	3	3	3	3	3	3	3	2	2				I _think_ this is actually always initialized via some complex initialization protocol.  Might be best to just suppress the initialization warning.  None of the patches make a good change, the size of this array needs to be consistent with _hashSizeSum I think.	This code doesn't look like it's really intended to be Java; the structure looks like a translated C program. I would not run the checker on the whole file for that reason, so my preferred patch is a warning suppression on the whole file. Patch A is very wrong: it changes semantics in a few places, and is otherwise too intrusive. Patches B and C are effectively warning suppressions, but I'd hesitate to accept them as a dev because as a dev I wouldn't touch this code with a ten foot pole.		"MK: happy with 333; correct change is ""do nothing"""	consolidation
libgdx	63	hash_agent_baseline	hash_advanced	hash_basic	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/ffe74908da67a4aebbc66b083ae1af457c77e184"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/7eed90be3f64fd373341b99ade04cab26d6d4dfe"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/5cd96064208fb6e722d4cf20e557da55398b61bc"", ""Github"")"	FIELD_NO_INIT	@NonNull field TextureAtlas$TextureAtlasData$Region.values not initialized	libgdx/gdx/src/com/badlogic/gdx/graphics/g2d/TextureAtlas.java:587	public @Null int[][] values;	3	2	3	3	2	3	3	1	2				needs to be initialized consistently with the names array, and i think it is.  Patch B is closest but adds unnecessary null check on values.  Patches A and C seem wrong, don't keep consistency.	It's pretty clear that values is intended to be Nullable. Patch B gets that exactly right. Patch C is on the right track, but doesn't handle every use (thus triggering new errors). Patch A is wrong.		MK: I'm pretty sure I'm right about values being intended to be nullable: there is an @Null annotation (human-written!) on its declaration.    MS: that is true, but I think names and values are intended to always be initialized together.  So, names != null implies values != null.  Also did we look at the same Patch C?  Your description of it being on the right track doesn't seem right to me  MK: evidence that names and values should be initialized together: * https://github.com/Pascal-Joos/libgdx/blob/7eed90be3f64fd373341b99ade04cab26d6d4dfe/gdx/src/com/badlogic/gdx/graphics/g2d/TextureAtlas.java#L482 So, I'm happy to shift to 2 for patch B. I'm also not sure what I was thinking re:patch C; it's not good. I'm therefore happy with 323.	consolidation
libgdx	83	hash_advanced	hash_basic	hash_agent_baseline	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/95449f86a9c3bba12ac87f2f445717f04420f481"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/aeee6a9a71acaae1bcb69edf954ecd1e3a5ba706"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/5476d2c29697a9c5b601ff03efb2c55244916088"", ""Github"")"	PASS_NULLABLE	passing @Nullable parameter 'bindPose.keys[j].id' where @NonNull is required	libgdx/gdx/src/com/badlogic/gdx/graphics/g3d/ModelInstance.java:359	bindPose.keys[j] = getNode(bindPose.keys[j].id);	1	3	3	1	2	2	1	3	3				hard to tell but my best guess is that this can't actually be null.  cast is best, but null checks are a reasonable second best i think (though would they mask an error?)	I'm pretty unsure about this one. I _think_ this is a false positive, but that's mostly because I can't see how this code could ever run otherwise. Patches B and C skip updating the entry if the key's id actually is null, which I think is a mistake: it would be much better to crash in such a case (which the suppression will cause), so that it can be investigated as a bug.		MK: I think patches B and C would mask an error, which is why I gave them 3s. MS: I can agree with that	consolidation
litiengine	118	hash_advanced	hash_agent_baseline	hash_basic	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/a1f967aaf91b97195f30b34b5755e394598e8552"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/923840b3e8df86921e42cc6069ef83caff708826"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/85559041a141032588b6e11ff69332c816fe3db1"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression this.collisionEntities.get(entity.getCollisionType()) is @Nullable	litiengine/src/de/gurkenlabs/litiengine/physics/PhysicsEngine.java:78	this.collisionEntities.get(entity.getCollisionType()).add(entity);	1	3	3	1	2	2	1	3	3				can't be null but nullaway can't prove, cast is best	this.collisionEntities always contains entries for these enum values; see the constructor. Patch A suppresses the warning; Patches B and C do not. This warning is very similar to warning 120, and the justification for my decision is the same.		MS: agreed on 1 3 3	consolidation
libgdx	249	hash_basic	hash_advanced	hash_agent_baseline	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/8d9c2689f08bb8b67cda1895ee58539062fc2771"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/1899812ba9299bb7144b92c6ca0a7d911fa07bf0"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/852e67e8fa4b0764ddd4766ac5dc30a63827bba4"", ""Github"")"	ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	libgdx/gdx/src/com/badlogic/gdx/scenes/scene2d/ui/Cell.java:999	expandX = null;	3	1	3	3	1	3	3	2	3				field clearly can be null, Patch B looks right to me though casts do add clutter	Context makes it obvious that the field is allowed to hold null. So, Patches A and C (which adjust the assignment to make the RHS nonnull) are wrong. Patch B correctly makes the field null, but I'm not happy with how it handles the triggered errors - I don't see anything at either location that guarantees that expandX/expandY is actually nonnull, so I'd have done a null check at both locations, instead. Also, patch B clearly needs work because it triggers a new error.		MS: this depends on how we handle triggered errors from casts (We decided to score such as 1 -[Pascal])	consolidation
jadx	61	hash_advanced	hash_agent_baseline	hash_basic	"=HYPERLINK(""https://github.com/Pascal-Joos/jadx/commit/a3dbff26dc12cf3ebf1e3f64005c418b35472f24"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/jadx/commit/c2058a2e5f6d29cb9a1f0d6b79109ba0a8782002"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/jadx/commit/a320a70cfb824e453a3b95ae5620058df210e957"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression cond is @Nullable	jadx/jadx-core/src/main/java/jadx/core/dex/regions/conditions/IfCondition.java:121	\t\tMode mode = cond.getMode();	3	3	3	2	3	2	3	2	3				parameter should probably not be `@Nullable`, casting or checking for null is not as good as getting rid of annotation	"cond is pretty clearly supposed to be nonnull, so the right fix would be to remove the @Nullable annotation and then fix the call sites. Patch B partially does that, but doesn't actually remove the annotation and makes the method throw an exception, instead, which isn't the right choice (""annotations should reflect normal behavior""). Patch A hides the problem in a silly way (just change the type of the parameter instead!) and doesn't address the call site issue. Patch C just throws an exception, which is equally silly."		MK: willing to agree on 333	consolidation
litiengine	117	hash_agent_baseline	hash_advanced	hash_basic	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/f197996532137c9a71104f7c41061aee8eaea6aa"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/7699433d9028edd640332f7adcb277fbc1765378"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/5b173523103efd0a9dc2f3bd5d9622ab922ea37f"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression this.collisionEntities.get(Collision.ANY) is @Nullable	litiengine/src/de/gurkenlabs/litiengine/physics/PhysicsEngine.java:84	this.collisionEntities.get(Collision.ANY).add(entity);	3	1	3	2	1	2	3	1	3				like row 35 (row 10: litiengine 118 now [Pascal])	this.collisionEntities always contains entries for this enum value; see the constructor. Patch B suppresses the warning; Patches A and C do not. This warning is very similar to warnings 118 and 120, and the justification for my decision is the same.		MS: I can agree on 3 1 3	consolidation
jadx	98	hash_advanced	hash_agent_baseline	hash_basic	"=HYPERLINK(""https://github.com/Pascal-Joos/jadx/commit/f16d9c0575caaee89f7135ccceb5b4b285b9f4dd"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/jadx/commit/82a88b2e9fcdc192bfc294b8d89bdf10e3c713dc"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/jadx/commit/40f41a3d5efea86d0f5870ed2fa7bd11c656ca31"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression d is @Nullable	jadx/jadx-core/src/main/java/jadx/core/utils/BlockUtils.java:1185	\t\t\t\td.set(block.getId());	1	3	3	1	3	3	2	3	3				can't be null, cast is best, checking and bailing out is misleading	"map is a local variable, and is initialized with the set of blocks in blockNodes on line 1161. The lookup that gets d also uses a block from blockNodes, so its guaranteed to find an entry. Patch A correctly suppresses the warning, but doesn't put the ""nonnull"" version into a local variable, so it triggers a new warning at the next dereference of d; it should but it in a local variable instead. Patches B and C try to handle the null dereference, and so are wrong. C is worse, but both are so bad I wouldn't consider them. (I also checked that blockNodes never changes during this method.)"		"MK: my score here depends on how we want to handle ""newly"" triggered errors that were always there (a la Pascal's email on Friday afternoon European time). If we're ok with them, I'm happy to switch to 1 here (We decided to score such as 1 -[Pascal])"	consolidation
