Benchmark	ID	Tool A	Tool B	Tool C	Patch A	Patch B	Patch C	Type	Message	Path	Expression	SCORE(Patch A)	SCORE(Patch B)	SCORE(Patch C)	Comment
glide	9	hash_agent_baseline	hash_advanced	hash_basic	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/bd6eac2e153241b01c81de24c05aabc1bfc18e72"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/282eb711e1aec3f83f15671349be398c49220f5a"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/67308f0c494d0ad60f135b6e9c3a7cee5ab5118d"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression modelLoaders is @Nullable	glide/library/src/main/java/com/bumptech/glide/load/engine/DataCacheGenerator.java:89	    return modelLoaderIndex < modelLoaders.size();				
spring-boot	46	hash_agent_baseline	hash_basic	hash_advanced	"=HYPERLINK(""https://github.com/Pascal-Joos/spring-boot/commit/d601f1088e9fa9b26bd750253396fb9e969e1b3f"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/spring-boot/commit/233234de89b5312309a203b87b9a4e2bb6a6f00c"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/spring-boot/commit/ff8f17159e362a6164effd4c72fc69faa7af4149"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression cause.getMessage() is @Nullable	spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/diagnostics/analyzer/ValidationExceptionFailureAnalyzer.java:42	\t\tif (cause.getMessage().startsWith(JAVAX_MISSING_IMPLEMENTATION_MESSAGE)				
zuul	23	hash_advanced	hash_agent_baseline	hash_basic	"=HYPERLINK(""https://github.com/Pascal-Joos/zuul/commit/d5615382c22911279b396ba9814c7ebf5fb4f18f"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/zuul/commit/3eaab1a30f4261737bc49d4a577186800316dd4b"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/zuul/commit/3899f3181672491e74a7669c2d1fbaa5658b04f3"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression ctx is @Nullable	zuul/zuul-core/src/main/java/com/netflix/zuul/stats/status/StatusCategoryUtils.java:35	    return ctx.get(CommonContextKeys.STATUS_CATGEORY);				
mockito	6	hash_agent_baseline	hash_basic	hash_advanced	"=HYPERLINK(""https://github.com/Pascal-Joos/mockito/commit/8407788263333a662a23bad4759bc033d491162c"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/mockito/commit/770b86a4e759f84e00cfee5c062dbcc024afccdd"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/mockito/commit/64c9c5720bb1cf800c4896d1a995491cc76764d7"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression INSTRUMENTATION is @Nullable	mockito/src/main/java/org/mockito/internal/creation/bytebuddy/InlineByteBuddyMockMaker.java:476	        return INSTRUMENTATION.isModifiableClass(type) && !EXCLUDES.contains(type);				
spring-boot	55	hash_basic	hash_advanced	hash_agent_baseline	"=HYPERLINK(""https://github.com/Pascal-Joos/spring-boot/commit/6b174db3a47ef1ad429c68d86b28530242296c5d"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/spring-boot/commit/34dc0f1c33f1e8d7b0716aeedb959510ab4bcc28"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/spring-boot/commit/aa73ff2a1728f8501db52b104836023a473b7a37"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression this.configuration is @Nullable	spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/logging/log4j2/SpringProfileArbiter.java:105	\t\t\tString name = this.configuration.getStrSubstitutor().replace(this.name);				
jadx	23	hash_agent_baseline	hash_advanced	hash_basic	"=HYPERLINK(""https://github.com/Pascal-Joos/jadx/commit/579f29741127827476df4f11025a9e92d80d91a0"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/jadx/commit/08dfb478807827d057c2a5376248e0c48edac312"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/jadx/commit/c95c833c92467912a3f5b9358b7b20a9cf05b11a"", ""Github"")"	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	jadx/jadx-core/src/main/java/jadx/core/dex/info/ClassInfo.java:91	\t\treturn alias == null ? getPackage() : alias.getPkg();				
eureka	4	hash_agent_baseline	hash_advanced	hash_basic	"=HYPERLINK(""https://github.com/Pascal-Joos/eureka/commit/6b2cbb3a8ce323d57f301ba05186284555aa5b4a"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/eureka/commit/022d7cbc208d8857214f367d47cd4de56b97aa85"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/eureka/commit/07a4d567fa5f0eed2b3c735079cc18228bda0052"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression resourceRecordSetWithHostedZone is @Nullable	eureka/eureka-core/src/main/java/com/netflix/eureka/aws/Route53Binder.java:276	      resourceRecordSetWithHostedZone				
glide	30	hash_advanced	hash_agent_baseline	hash_basic	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/41cb5f232823473043b31c3ebe3d39c3ef822bbd"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/4cffd21c4c088409a7c900f32262d9cc3bfdcb42"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/47318e33e96d4daf366feeac4d6cd0fef506d369"", ""Github"")"	ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	glide/library/src/main/java/com/bumptech/glide/load/engine/DecodeJob.java:182	    options = null;				
spring-boot	20	hash_advanced	hash_basic	hash_agent_baseline	"=HYPERLINK(""https://github.com/Pascal-Joos/spring-boot/commit/a19584dcc0dae4f43dce2c07889bd8df3e27cf2a"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/spring-boot/commit/eb17d89af82f8464621376d32e1ad3ffb8f40f8d"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/spring-boot/commit/803292882474be16f5c6e71ad3bb413400eb0523"", ""Github"")"	PASS_NULLABLE	passing @Nullable parameter 'this.applicationContext' where @NonNull is required	spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/properties/ConfigurationPropertiesBinder.java:237	\t\t\treturn new ConfigurationPropertiesBinder(this.applicationContext);				
wala-util	73	hash_agent_baseline	hash_basic	hash_advanced	"=HYPERLINK(""https://github.com/Pascal-Joos/wala-util/commit/53da07eb1d084f8810c4f6bb7eade562f32f1dec"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/wala-util/commit/482b42988ee0c5200bb4bd613fb6e5e53a885884"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/wala-util/commit/2d6cff9995523873bf8c6a800043f7cc60bd9d8f"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression p.get(column) is @Nullable	wala-util/src/main/java/com/ibm/wala/util/tables/Query.java:34	      if (p.get(column).equals(value)) {				
wala-util	71	hash_basic	hash_agent_baseline	hash_advanced	"=HYPERLINK(""https://github.com/Pascal-Joos/wala-util/commit/8310d66b0d3dd1fee70c1e5584aee2c8d41916d9"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/wala-util/commit/4fd840a18ca69da9fec8cdee374f6c41e99181ab"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/wala-util/commit/f6defedafa4ab860c6bcf60b66a3bbec7117ce00"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression rt is @Nullable	wala-util/src/main/java/com/ibm/wala/util/io/RtJar.java:52	    System.err.println(rt.getName());				
glide	56	hash_basic	hash_agent_baseline	hash_advanced	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/bf6c5b1474dc9a995c2adba38e38adb2a0ad4bcf"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/8d6b428108f90f198a2fc8615c3a26e1bfc58aca"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/6f2daaac28776593d788eac7a452c05270a3de16"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression object is @Nullable	glide/library/src/main/java/com/bumptech/glide/load/engine/bitmap_recycle/LruArrayPool.java:189	    return (ArrayAdapterInterface<T>) getAdapterFromType(object.getClass());				
spring-boot	42	hash_advanced	hash_basic	hash_agent_baseline	"=HYPERLINK(""https://github.com/Pascal-Joos/spring-boot/commit/0ac71cdc1d8d46ef3285949624f88e0fbf41bf50"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/spring-boot/commit/0b7abcdab2144d2d09b6dade32a4a1515a1f67df"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/spring-boot/commit/abfca2c19006df97219abff62fdbdc649ea7661a"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression this.intValue is @Nullable	spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/convert/PeriodStyle.java:269	\t\t\treturn this.intValue.apply(value);				
glide	79	hash_advanced	hash_agent_baseline	hash_basic	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/8491b6cb37c0fc6597f7c863ff2e7f8af32da8a5"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/daa446a41836556c697aef806195ed112e9fa12c"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/78ab5eef766bb5bcb1a1a40c401f7812e99c2396"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression other is @Nullable	glide/library/src/main/java/com/bumptech/glide/request/BaseRequestOptions.java:1221	    return Float.compare(other.sizeMultiplier, sizeMultiplier) == 0				
glide	28	hash_agent_baseline	hash_advanced	hash_basic	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/12f27bb7a38135e777575412cfe1dc9c672708d8"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/a0819518084b7d6771bc41fe529d5dd13dfeb0b0"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/e7f4099b8fa9622e877d07dd3425f9e57dab5d9b"", ""Github"")"	ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	glide/library/src/main/java/com/bumptech/glide/load/engine/DecodeJob.java:180	    glideContext = null;				
conductor	24	hash_basic	hash_advanced	hash_agent_baseline	"=HYPERLINK(""https://github.com/Pascal-Joos/conductor/commit/ce6085de01c9a416d25d736c429b1a82d0e91c80"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/conductor/commit/264699a49be29cccbf787125acadd8337b06e02e"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/conductor/commit/0cca310b0ed275ea49d90b43b9f2c5ca3bab6de4"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression task is @Nullable	conductor/core/src/main/java/com/netflix/conductor/service/TaskServiceImpl.java:174	            Monitors.recordAckTaskError(task.getTaskType());				
zuul	16	hash_agent_baseline	hash_basic	hash_advanced	"=HYPERLINK(""https://github.com/Pascal-Joos/zuul/commit/a6ebf64713a7c7ef5cf117049b6e9c4d990c506b"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/zuul/commit/f5e3531d1e2de88f7c5b7b0d0c6f6656e8f4f13f"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/zuul/commit/ba9f1a815ba8379789f96af825a416a463424307"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression handshakeInfo is @Nullable	zuul/zuul-core/src/main/java/com/netflix/zuul/netty/server/ssl/SslHandshakeInfoHandler.java:210	"            handshakeInfo.getProtocol().length() > 0 ? handshakeInfo.getProtocol() : ""unknown"";"				
glide	62	hash_advanced	hash_agent_baseline	hash_basic	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/0a83d3138002fcc0d7eb5d2c2a4d581791c18e6f"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/40fdc31604bf6f963e6da2f9a5a5294c7cf98cfc"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/f3319cdb95bd129a6f3a67a53355d321c9529252"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression inputStream is @Nullable	glide/library/src/main/java/com/bumptech/glide/load/model/DataUrlLoader.java:152	              inputStream.close();				
glide	20	hash_agent_baseline	hash_basic	hash_advanced	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/21acdc44c8ebb2d02c895d5d94b53f0f8888c851"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/5bd9591e778ce95426aa4c49bd7473114467cbcc"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/0c70bfc2619b184576953d9751cd1f0ec4faf416"", ""Github"")"	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	glide/library/src/main/java/com/bumptech/glide/load/engine/DecodeHelper.java:110	    return priority;				
spring-boot	37	hash_agent_baseline	hash_basic	hash_advanced	"=HYPERLINK(""https://github.com/Pascal-Joos/spring-boot/commit/ab15ab15375ecafe4347e07abd2dd08a4e2e4cc1"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/spring-boot/commit/b2f5029d1d9008615810bd8587b5950b5000a64c"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/spring-boot/commit/36ee377c493a359a3773f1f73948dc7f8bbfd675"", ""Github"")"	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/properties/source/ConfigurationPropertyName.java:589	\t\treturn (elements != null) ? new ConfigurationPropertyName(elements) : null;				
jadx	65	hash_agent_baseline	hash_basic	hash_advanced	"=HYPERLINK(""https://github.com/Pascal-Joos/jadx/commit/dc3d6bafe06d64a43a6f517748d3bb644673f443"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/jadx/commit/3e85b33fe4d342f1e8b090d9ca9983cab41297aa"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/jadx/commit/04bc328a3b48f63a74b232478a806a4da0bf8c8c"", ""Github"")"	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	jadx/jadx-core/src/main/java/jadx/core/dex/regions/conditions/IfRegion.java:29	\t\treturn thenRegion;				
glide	34	hash_agent_baseline	hash_basic	hash_advanced	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/56d407e03dbccb32c00fe2b18a3ecdb7832a7dbd"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/b6b9b744f00a18a3a183f5d4a97ef5d380a93c87"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/3d92fbeb2eb1cd2830ecc9795998e33a0193fa7e"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression path is @Nullable	glide/library/src/main/java/com/bumptech/glide/load/engine/DecodeJob.java:552	      return path.load(				
wala-util	39	hash_advanced	hash_basic	hash_agent_baseline	"=HYPERLINK(""https://github.com/Pascal-Joos/wala-util/commit/01e696d8940064d004240546c3f1b98b915c4dee"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/wala-util/commit/04e6f263ab8d9b3ce31010621155b6c93a6a1b48"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/wala-util/commit/ca24163cab731c21219fdc904a277bc296c6986c"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression that is @Nullable	wala-util/src/main/java/com/ibm/wala/util/intset/BitVectorIntSet.java:389	        if (!that.contains(x)) {				
conductor	7	hash_advanced	hash_agent_baseline	hash_basic	"=HYPERLINK(""https://github.com/Pascal-Joos/conductor/commit/117137a0f591082227609e45dd71f94e889d834c"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/conductor/commit/5b103c0f5b4d617c9cdfba1210058c1cb4adfc9e"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/conductor/commit/386c68f1338ed11537b835155d836177b5b5918e"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression exclusiveTask is @Nullable	conductor/core/src/main/java/com/netflix/conductor/core/execution/tasks/ExclusiveJoin.java:117	                task.setOutputData(exclusiveTask.getOutputData());				
glide	65	hash_basic	hash_advanced	hash_agent_baseline	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/a4e8b50dc140ed606a0d24e51ecdb162006d9056"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/7a85ed836fe7b19f431f7fc71888a466c0df4878"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/6c6a0d012e03f0839be0478f213d712260f0c480"", ""Github"")"	UNBOX_NULLABLE	unboxing of a @Nullable value - options.get(Downsampler.ALLOW_HARDWARE_CONFIG)	glide/library/src/main/java/com/bumptech/glide/load/resource/DefaultOnHeaderDecodedListener.java:52	        options.get(Downsampler.ALLOW_HARDWARE_CONFIG) != null				
jadx	98	hash_advanced	hash_agent_baseline	hash_basic	"=HYPERLINK(""https://github.com/Pascal-Joos/jadx/commit/f16d9c0575caaee89f7135ccceb5b4b285b9f4dd"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/jadx/commit/82a88b2e9fcdc192bfc294b8d89bdf10e3c713dc"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/jadx/commit/40f41a3d5efea86d0f5870ed2fa7bd11c656ca31"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression d is @Nullable	jadx/jadx-core/src/main/java/jadx/core/utils/BlockUtils.java:1185	\t\t\t\td.set(block.getId());				
retrofit	11	hash_basic	hash_agent_baseline	hash_advanced	"=HYPERLINK(""https://github.com/Pascal-Joos/retrofit/commit/b13fc149f3aa920582882a973b38ebe715ccbe2a"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/retrofit/commit/bf78baa18ed6a68250c0e1a7dd3f9fded1ae1f7c"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/retrofit/commit/7822df750778c6b110fecc1451e92e56877657d2"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression handlers is @Nullable	retrofit/retrofit/src/main/java/retrofit2/RequestFactory.java:100	    if (argumentCount != handlers.length) {				
spring-boot	17	hash_agent_baseline	hash_basic	hash_advanced	"=HYPERLINK(""https://github.com/Pascal-Joos/spring-boot/commit/2092a7b7d5644b7f2fea6531515cb8b190a74b21"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/spring-boot/commit/398de640ee79389a207e0f5fd6a7021bc392cc43"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/spring-boot/commit/000051e986e57cb7cc04c0f34b0eb2f414d70266"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression this.loggingSystem is @Nullable	spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/logging/LoggingApplicationListener.java:242	\t\tthis.loggingSystem.beforeInitialize();				
conductor	15	hash_advanced	hash_agent_baseline	hash_basic	"=HYPERLINK(""https://github.com/Pascal-Joos/conductor/commit/301d0b4b162a909de8bec794b710dea971a37074"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/conductor/commit/3e527a24a80b70d34c64a12f0017e05a15ded4b6"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/conductor/commit/7a53485ccb128b7feed796a96ad6998e8b4c0302"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression paramString is @Nullable	conductor/core/src/main/java/com/netflix/conductor/core/utils/ParametersUtils.java:227	"        String[] values = paramString.split(""(?=(?<!\\\\$)\\\\$\\\\{)|(?<=})"");"				
wala-util	33	hash_basic	hash_agent_baseline	hash_advanced	"=HYPERLINK(""https://github.com/Pascal-Joos/wala-util/commit/6227300e1445cddd5478c7e5a33deddf0c69cf2b"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/wala-util/commit/11010351f4d72f24f7dbc3291fe6c2669ea30338"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/wala-util/commit/7c3ede743d63aac8d4eebdc3942637266ed1ff9d"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression d1 is @Nullable	wala-util/src/main/java/com/ibm/wala/util/heapTrace/HeapTracer.java:686	        return d2.getTotalSize() - d1.getTotalSize();				
